Regime,VIX_source,Days,Days%,CAGR%,CAGR_bench%,Excess_CAGR%,Sharpe,MaxDD%,Hit_Rate%
PANIC (VIX≥24),real,410,17.9,-29.87,-45.91,16.04,-1.715,-49.32,30.0
CALM (<13),real,458,20.0,95.48,86.96,8.52,3.659,-9.91,59.8
NORMAL (13–23),real,1378,60.0,22.08,31.31,-9.23,1.062,-25.33,45.2
STRESS (≥23),real,459,20.0,-27.76,-40.82,13.06,-1.539,-51.89,30.5
