Method,MeanSharpe,MeanCAGR%,MeanMaxDD%,MeanInterventionRate,MeanFragilityRate
BASELINE_6_1_FROZEN,0.9694,22.096,-16.516,0.0,0.0
H7C,1.0089599999999999,22.436,-15.74,0.18575999999999998,0.18575999999999998
