date,fragility_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,fold
2017-01-06,0.6058915523790748,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-01-13,0.6070117208340166,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-01-20,0.6206697248841644,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-01-27,0.5806248799836314,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-02-03,0.5955351870491851,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-02-10,0.5924350041933162,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-02-17,0.6374556266680571,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-02-24,0.6577210341764458,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-03-03,0.6507705648102569,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-03-10,0.6587160115491764,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-03-17,0.6267265883767613,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-03-24,0.5007344649115999,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-03-31,0.594394613416524,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-04-07,0.5720337834123326,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-04-21,0.5563854188354688,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-04-28,0.5618936419866432,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-05-05,0.5080109432919238,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-05-12,0.567606987306264,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-05-19,0.5957300389792286,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-05-26,0.4876110786206554,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-06-02,0.46049462442157324,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-06-09,0.48965571458226315,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-06-16,0.42897593152346913,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-06-23,0.36543428701945324,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-06-30,0.3368167599191448,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-07-07,0.31714146102362223,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-07-14,0.32494926935910623,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-07-21,0.36675001380316957,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-07-28,0.42400198343881706,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-08-04,0.4300993165047342,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-08-11,0.3818477313405822,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-08-18,0.2628418804130049,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-08-25,0.23588776703825884,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-09-01,0.2775186599677969,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-09-08,0.24019965979406616,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-09-15,0.2834066077395413,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-09-22,0.3445609908441546,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-09-29,0.34885083242926895,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-10-06,0.5066192631752106,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-10-13,0.5151126344955346,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-10-20,0.5288503451704273,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-10-27,0.538946647308721,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-11-03,0.5567357088646779,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-11-10,0.553949231425452,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-11-17,0.5655510214327014,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-11-24,0.5604435158679874,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-12-01,0.45291259876491435,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-12-08,0.42031870393382825,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-12-15,0.3759848659737025,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-12-22,0.4003186469354165,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2017-12-29,0.3918162143924188,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-01-05,0.5221262708586073,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-01-12,0.5353403103083731,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-01-19,0.5166532985881771,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-01-26,0.445517947839515,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-02-02,0.5179221252667877,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-02-09,0.13155730750804928,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-02-16,0.26974047047656624,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-02-23,0.27292604159773237,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-03-02,0.2212747517043362,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
2018-03-09,0.3634170212074411,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,1
