date,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,fold
2017-01-06,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-01-13,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-01-20,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-01-27,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-02-03,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-02-10,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-02-17,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-02-24,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-03-03,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-03-10,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-03-17,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-03-24,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-03-31,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-04-07,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-04-21,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-04-28,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-05-05,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-05-12,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-05-19,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-05-26,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-06-02,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-06-09,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2017-06-16,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-06-23,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-06-30,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-07-07,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-07-14,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-07-21,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-07-28,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-08-04,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-08-11,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-08-18,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-08-25,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-09-01,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-09-08,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-09-15,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-09-22,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-09-29,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-10-06,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-10-13,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-10-20,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-10-27,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-11-03,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-11-10,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-11-17,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-11-24,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-12-01,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-12-08,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-12-15,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-12-22,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2017-12-29,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-01-05,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-01-12,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-01-19,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-01-26,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-02-02,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-02-09,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-02-16,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-02-23,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-03-02,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-03-09,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-03-16,RECOVERY_OVERRIDE,1.0,0.35,,5.070205676540773,15.539451249145573,1
2018-03-23,RECOVERY_OVERRIDE,1.0,0.35,,5.070205676540773,15.539451249145573,1
2018-04-06,RECOVERY_OVERRIDE,1.0,0.35,,5.070205676540773,15.539451249145573,1
2018-04-13,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-04-20,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-04-27,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-05-04,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-05-11,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-05-18,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-05-25,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-06-01,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-06-08,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-06-15,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-06-22,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-06-29,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-07-06,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-07-13,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-07-20,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-07-27,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-08-03,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-08-10,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-08-17,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-08-24,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-08-31,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-09-07,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-09-14,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-09-21,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-09-28,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-10-05,REL_TILT,1.0,0.0,0.55,5.070205676540773,15.539451249145573,1
2018-10-12,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-10-19,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-10-26,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-11-02,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
2018-11-09,BASELINE,1.0,0.0,,5.070205676540773,15.539451249145573,1
