Method,MeanSharpe,MeanCAGR%,MeanMaxDD%,MeanInterventionRate
BASELINE_6_1_FROZEN,0.9694,22.096,-16.516,0.0
7A,0.9694,22.096,-16.516,0.45502000000000004
