date,avg_corr_21,avg_corr_63,xs_disp_5d,xs_disp_21d,breadth_63d,qqq_ret_5d,qqq_ret_21d,qqq_drawdown,qqq_vol_21,vix_level,vix_z_63,qqq_above_ema20,trend_mean,mom_mean,rel_mean,rel_top_mean,rel_minus_mom,rel_minus_trend,n_members
2005-01-07,0.364878245041987,0.364878245041987,,,0.0,,,-0.02405048860285186,0.13875273158893994,13.489999771118164,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.2,10.0
2005-01-14,0.3089327588412881,0.3089327588412881,0.09563228723778733,,0.0,-0.0031128909296842533,,-0.027088512984709823,0.14319691029477002,12.430000305175781,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.1,10.0
2005-01-21,0.30456653912383674,0.30456653912383674,0.022791453273567016,,0.0,-0.026793112399818186,,-0.06202505750283338,0.1576434584791286,14.359999656677246,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.1,10.0
2005-01-28,0.28881079424843586,0.28881079424843586,0.028748853644398924,,0.0,-0.003509039581913398,,-0.06531644870289888,0.15539407956939702,13.239999771118164,0.0,0.0,0.1,0.0,0.0,0.0,0.0,-0.1,10.0
2005-02-04,0.1679842611507345,0.2029922681084539,0.09176049500293805,0.12160428930430542,0.0,0.0224814379670788,-0.02049773704203328,-0.04430341842556407,0.16431268653076248,11.210000038146973,0.0,1.0,0.1,0.0,0.0,0.0,0.0,-0.1,10.0
2005-02-11,0.23781045109066706,0.21875587178644115,0.045731919554060564,0.13344214739206617,0.0,-0.0013247317575150186,-0.0228095405393407,-0.04556946003772422,0.17657596595967723,11.430000305175781,0.0,1.0,0.2,0.0,0.0,0.0,0.0,-0.2,10.0
2005-02-18,0.21977296930221488,0.22766780535851522,0.046641266924828,0.12975550466799657,0.0,-0.009284177523442794,0.0,-0.05443056260452939,0.15073843633179687,11.180000305175781,0.0,0.0,0.2,0.0,0.0,0.0,0.0,-0.2,10.0
2005-02-25,0.22743655931401974,0.22962810356435215,0.04236137485547178,0.13498556599893213,0.0,0.004003001520153537,0.012650626085347616,-0.04759560210450686,0.14688272414430056,11.489999771118164,0.0,1.0,0.225,0.0,0.0,0.0,0.0,-0.225,10.0
2005-03-04,0.2952064634279693,0.22347233134146452,0.027774311454990448,0.0844994486333627,0.0,-0.0026577898538019396,-0.001596798739220362,-0.05012689284994987,0.15271816482017903,11.9399995803833,0.0,1.0,0.225,0.0,0.0,0.0,0.0,-0.225,10.0
2005-03-11,0.30080991735386625,0.239856135751387,0.03945571272663592,0.07390863515744989,0.0,-0.00932782854425429,0.0016170824251717786,-0.058987146332243556,0.1409396087272612,12.800000190734863,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-0.3,10.0
2005-03-18,0.2493785938246731,0.22923696564438076,0.03825495235597742,0.05856448052498881,0.0,-0.017756361369762996,-0.038704195953061404,-0.07569611061556025,0.13551437209602887,13.140000343322754,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-0.3,10.0
2005-04-01,0.3172267207433309,0.22788224040889174,0.07547512263216512,0.057660706226302066,0.0,-0.001929662679527322,-0.03749024570885506,-0.08354425536024224,0.1329279219686778,14.09000015258789,0.0,0.0,0.3,0.0,0.0,0.0,0.0,-0.3,10.0
