date,avg_corr_21,avg_corr_63,xs_disp_5d,xs_disp_21d,breadth_63d,qqq_ret_5d,qqq_ret_21d,qqq_drawdown,qqq_vol_21,vix_level,vix_z_63,qqq_above_ema20,trend_mean,mom_mean,rel_mean,rel_top_mean,rel_minus_mom,rel_minus_trend,n_members,vix_spike,corr_jump,breadth_break,dd_break,vol_spike,rel_break,breadth_recovery,corr_normalization,reclaim_ema,rel_recovery,ret_recovery,stress_events,recovery_events,stress_intensity,recovery_intensity,intensity_spread,fold
2017-01-06,0.37180785985938025,0.4388090136918826,0.041466064364356785,0.045990389000793865,0.7,0.01854469054786101,0.04629189195059302,0.0,0.09908777735699649,11.319999694824219,-1.0974518876532018,1.0,0.975,0.6508930834045235,0.592062731919955,0.8071881793221545,-0.0588303514845685,-0.382937268080045,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.3490874402987334,12.195041507953013,-8.84595406765428,1
2017-01-13,0.39907026776650995,0.42846631604808416,0.028328137257336794,0.04259438560446417,0.9,0.010087820995402286,0.025437586343173724,0.0,0.07781254103809532,11.229999542236328,-0.9987704669363995,1.0,0.975,0.6668097651997844,0.5856552171312368,0.7814401694872347,-0.0811545480685476,-0.3893447828687632,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.2565895398678526,12.831197217608896,-9.574607677741042,1
2017-01-20,0.3750052395700974,0.44073333946257187,0.04562089404416989,0.05804622190432,0.8,0.004155428670230332,0.026313718440841516,0.0,0.07607850920416573,11.539999961853027,-0.7973915746544965,1.0,1.0,0.6709011238676624,0.5794813789220132,0.7595559552964182,-0.0914197449456492,-0.42051862107798677,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.1825912195231485,14.140121785333603,-10.957530565810455,1
2017-01-27,0.2648553481092559,0.44050275904918607,0.02669871538799744,0.07767000033077633,1.0,0.02068978045929626,0.04121846928842188,0.0,0.08055474102370389,10.579999923706055,-1.0605933544252952,1.0,1.0,0.6878221244548943,0.5725783396309329,0.7134926071106319,-0.11524378482396147,-0.42742166036906715,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.1233925632473847,14.387261439513368,-11.263868876265985,1
2017-02-03,0.21590605667308346,0.42605649524926653,0.055084134592090626,0.04368065012157398,1.0,-0.0009540175656855832,0.04567771132418641,-0.0009540175656855832,0.06560361325886006,10.970000267028809,-0.8328229418700992,1.0,1.0,0.6839597034879883,0.5965804399800597,0.7928695975560388,-0.08737926350792857,-0.4034195600199403,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0760336382267734,15.384973162857182,-12.308939524630409,1
2017-02-10,0.17808406400020793,0.3274326495412262,0.03259370532339844,0.0628614457030607,1.0,0.013526369106427127,0.03619937422100161,0.0,0.06009534557151965,10.850000381469727,-1.363504202463856,1.0,1.0,0.7014605858761944,0.600779416411359,0.8138796558478272,-0.10068116946483541,-0.399220583588641,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.038146498210285,16.98314254153223,-13.944996043321947,1
2017-02-17,0.17348469004353836,0.31076386785801746,0.0286319144718797,0.09865429797122317,1.0,0.019076779164086233,0.05553742236848391,0.0,0.059054028448570085,11.489999771118164,-0.6075205897388963,1.0,1.0,0.7062131134367579,0.5863771719800434,0.7384281593602532,-0.1198359414567145,-0.41362282801995665,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0078367861970943,18.261678044472273,-15.253841258275179,1
2017-02-24,0.16564094312075955,0.3044322581835528,0.03387927716995246,0.11674540349216175,1.0,0.007814302546194751,0.03850746660580118,-0.001839130162611169,0.05482944664646477,11.470000267028809,-0.5624380748538432,1.0,1.0,0.6984478610851037,0.5678301502678884,0.6847576764097498,-0.1306177108172153,-0.4321698497321116,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.9835890165865413,19.284506446824302,-16.30091743023776,1
2017-03-03,0.2959593128816135,0.2743964356300061,0.03263780025744832,0.0650031144405826,1.0,0.005834279556156341,0.044566409487135195,-0.0031952920191763434,0.056965940976361165,10.960000038146973,-1.1329606250537496,1.0,1.0,0.6893445988178731,0.5633665503348946,0.6677131881980479,-0.12597804848297856,-0.4366334496651054,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.9641908008980993,19.30276916870593,-16.33857836780783,1
2017-03-10,0.37945350396117383,0.27590587587539495,0.02072882178177455,0.07011809050676399,1.0,0.002824184310285194,0.03865619014069921,-0.0003801318024783118,0.059628287723813296,11.65999984741211,-0.18051030635712068,1.0,1.0,0.6968111007717676,0.5644376212917834,0.6642278380722731,-0.13237347947998412,-0.43556237870821657,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.9486722283473457,18.51737934621123,-15.568707117863884,1
2017-03-17,0.39524013287015464,0.2690775730410494,0.030060624258923183,0.031297620158618616,1.0,0.0043682077851256995,0.020681795037074346,-0.0010302364827520227,0.058981824008036844,11.279999732971191,-0.6387426889540827,1.0,1.0,0.6965205383069133,0.5734870134751868,0.6948838073352984,-0.12303352483172647,-0.4265129865248132,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,2.936257370306743,17.88906748821547,-14.952810117908728,1
