Label,alpha_ann,t_alpha,p_alpha,beta_mkt,beta_smb,beta_hml,beta_rmw,beta_cma,beta_umd,R2_adj
MAHORAGA_1.2,0.165173,3.945,8e-05,0.3762,0.0928,-0.1219,-0.1188,-0.2711,0.2611,0.1947
OOS_stitched_with_gaps,0.028783,0.379,0.70437,0.6199,0.0792,-0.2997,0.1168,-0.3532,0.2384,0.2973
