date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,chop,fold
2017-01-06,0.6058915523790749,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-01-13,0.6070117208340166,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-01-20,0.6206697248841644,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-01-27,0.5806248799836314,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-02-03,0.5955351870491852,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-02-10,0.5924350041933163,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-02-17,0.6374556266680573,0.0053716247873945,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-02-24,0.6577210341764458,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-03-03,0.6507705648102571,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-03-10,0.6587160115491761,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-03-17,0.6267265883767615,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-03-24,0.5007344649115998,0.0,BASELINE,1.0,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
2017-03-31,0.594394613416524,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.78077933150568,0.55,0.6,0,1
