feature,importance,model,fold
corr_scale_weekly,1.5924032546065177e-18,fragility,3
intensity_spread,0.20270614532246076,recovery,3
base_total_scale,0.18653495411581003,recovery,3
rel_minus_mom,0.09958362902312069,recovery,3
base_exposure,0.09072219221848504,recovery,3
recovery_intensity,0.0731066573283336,recovery,3
stress_intensity,0.060857752717861896,recovery,3
mom_mean,0.047796735710698326,recovery,3
turb_scale_weekly,0.0425873430302782,recovery,3
trend_mean,0.029343783976427434,recovery,3
qqq_vol_21,0.028671379016004004,recovery,3
rel_minus_trend,0.02412508970312328,recovery,3
qqq_drawdown,0.01802043952523562,recovery,3
avg_corr_63,0.016628219490102143,recovery,3
avg_corr_21,0.009193718019590746,recovery,3
rel_mean,0.008399644223650242,recovery,3
qqq_ret_5d,0.007980638231102627,recovery,3
rel_top_mean,0.00782747030613809,recovery,3
breadth_63d,0.006805915926386303,recovery,3
vix_level,0.006657339149884199,recovery,3
qqq_ret_21d,0.005884956681906244,recovery,3
base_turnover,0.00551501995268997,recovery,3
xs_disp_5d,0.005386686611370226,recovery,3
vix_z_63,0.005343628790532397,recovery,3
crisis_scale_weekly,0.00455485971076703,recovery,3
xs_disp_21d,0.004036298144206127,recovery,3
crisis_state_weekly,0.001490430901929782,recovery,3
corr_scale_weekly,0.00023907217190502372,recovery,3
corr_state_weekly,0.0,recovery,3
base_turnover,0.0867194955267403,fragility,4
intensity_spread,0.0823697408890486,fragility,4
turb_scale_weekly,0.08189787923643427,fragility,4
rel_minus_mom,0.07920956426380357,fragility,4
base_total_scale,0.07811706828478833,fragility,4
base_exposure,0.055445567443990304,fragility,4
stress_intensity,0.050491969999125155,fragility,4
qqq_vol_21,0.04648838030324231,fragility,4
mom_mean,0.04425642793160501,fragility,4
avg_corr_63,0.04298985501434685,fragility,4
avg_corr_21,0.038611892068799065,fragility,4
rel_mean,0.03338561250589929,fragility,4
vix_level,0.0333310733098964,fragility,4
rel_minus_trend,0.030987159652649653,fragility,4
recovery_intensity,0.02614085070558963,fragility,4
rel_top_mean,0.026126571633462124,fragility,4
qqq_drawdown,0.02541262147593139,fragility,4
trend_mean,0.020730973106056587,fragility,4
xs_disp_5d,0.017850048698489274,fragility,4
qqq_ret_5d,0.01683969485052938,fragility,4
xs_disp_21d,0.015426574241619478,fragility,4
breadth_63d,0.015195071825272702,fragility,4
crisis_state_weekly,0.013980666718392395,fragility,4
crisis_scale_weekly,0.013644600436104501,fragility,4
qqq_ret_21d,0.013142125103400267,fragility,4
vix_z_63,0.010965356920813416,fragility,4
corr_scale_weekly,0.00024315785396981766,fragility,4
corr_state_weekly,0.0,fragility,4
intensity_spread,0.21353331110085058,recovery,4
base_total_scale,0.17051506527990926,recovery,4
stress_intensity,0.09232079695807252,recovery,4
rel_minus_mom,0.08924056355935024,recovery,4
base_exposure,0.08907912374655594,recovery,4
qqq_vol_21,0.08895627751610624,recovery,4
qqq_drawdown,0.0433095080976053,recovery,4
mom_mean,0.029189100178843158,recovery,4
vix_level,0.028196383980417315,recovery,4
rel_minus_trend,0.023565595097143142,recovery,4
recovery_intensity,0.02040277744960382,recovery,4
avg_corr_21,0.017100983522377686,recovery,4
turb_scale_weekly,0.016533431265350482,recovery,4
trend_mean,0.014338095345931494,recovery,4
base_turnover,0.007701782600090469,recovery,4
avg_corr_63,0.0063614333407250884,recovery,4
xs_disp_5d,0.006150750265439444,recovery,4
qqq_ret_5d,0.006108899333176611,recovery,4
rel_top_mean,0.006049434956403559,recovery,4
rel_mean,0.005628837001147904,recovery,4
vix_z_63,0.005560502705154724,recovery,4
xs_disp_21d,0.005154617817917657,recovery,4
crisis_state_weekly,0.004357610207495154,recovery,4
breadth_63d,0.0036245766850210837,recovery,4
crisis_scale_weekly,0.0034173918205168854,recovery,4
qqq_ret_21d,0.003032081104550622,recovery,4
corr_scale_weekly,0.0005710690642435081,recovery,4
corr_state_weekly,0.0,recovery,4
rel_minus_mom,0.0871942367493815,fragility,5
intensity_spread,0.08667368681610786,fragility,5
base_total_scale,0.08193524327350292,fragility,5
base_exposure,0.07649307301200182,fragility,5
mom_mean,0.06523425754029107,fragility,5
stress_intensity,0.06387225714325694,fragility,5
turb_scale_weekly,0.05795166476501607,fragility,5
avg_corr_63,0.046114346877743594,fragility,5
base_turnover,0.04372101313483742,fragility,5
qqq_vol_21,0.03745978085385625,fragility,5
rel_minus_trend,0.03693652914022588,fragility,5
vix_level,0.03565085944152364,fragility,5
recovery_intensity,0.03442086636501071,fragility,5
qqq_drawdown,0.03155384131530761,fragility,5
rel_mean,0.027678765059232,fragility,5
avg_corr_21,0.027158969138665966,fragility,5
rel_top_mean,0.026560628865008037,fragility,5
qqq_ret_21d,0.025479973150152175,fragility,5
trend_mean,0.022902980253848272,fragility,5
vix_z_63,0.0196288416638168,fragility,5
xs_disp_21d,0.01751824263235127,fragility,5
breadth_63d,0.014600785612514516,fragility,5
qqq_ret_5d,0.013707230085447211,fragility,5
xs_disp_5d,0.011827999709653998,fragility,5
crisis_scale_weekly,0.003786898615384877,fragility,5
corr_scale_weekly,0.0022807070141870564,fragility,5
crisis_state_weekly,0.0011260520178266367,fragility,5
corr_state_weekly,0.0005302697538480468,fragility,5
intensity_spread,0.18211047330569083,recovery,5
base_total_scale,0.18179885263209647,recovery,5
base_exposure,0.10208586813416914,recovery,5
rel_minus_mom,0.09558710226866075,recovery,5
base_turnover,0.07266970004094171,recovery,5
qqq_vol_21,0.06835265080116407,recovery,5
stress_intensity,0.06346473718874981,recovery,5
qqq_drawdown,0.043909864931197716,recovery,5
mom_mean,0.033269531513986546,recovery,5
vix_level,0.028423961606376363,recovery,5
turb_scale_weekly,0.020065271372057106,recovery,5
rel_minus_trend,0.01555017724375165,recovery,5
trend_mean,0.013962587228040736,recovery,5
crisis_scale_weekly,0.00980331532544925,recovery,5
recovery_intensity,0.008124308983399912,recovery,5
crisis_state_weekly,0.007051580407812204,recovery,5
rel_mean,0.0070377215785067055,recovery,5
qqq_ret_5d,0.0067912860421694005,recovery,5
rel_top_mean,0.006748286153431819,recovery,5
xs_disp_5d,0.005809467549999278,recovery,5
avg_corr_21,0.005797056529454472,recovery,5
avg_corr_63,0.005405828785765124,recovery,5
qqq_ret_21d,0.005049914530627678,recovery,5
breadth_63d,0.005037501286036219,recovery,5
vix_z_63,0.0034377635712117575,recovery,5
xs_disp_21d,0.002603896751368363,recovery,5
corr_scale_weekly,5.129423788512037e-05,recovery,5
corr_state_weekly,0.0,recovery,5
