Mode,CAGR%,Sharpe,MaxDD%,Calmar
IC_weights (0.33/0.33/0.33),22.22,1.155,-21.08,1.054
EQUAL_WEIGHTS (0.33/0.33/0.33),22.22,1.155,-21.08,1.054
