Universe,N_tickers,CAGR%,Sharpe,MaxDD%,Calmar,FinalEq
FULL_MEGA,12,22.22,1.155,-21.08,1.054,6887388.0
SEMIS,10,11.0,0.615,-41.33,0.266,903482.0
PLATFORMS,10,11.54,0.721,-25.55,0.452,1001792.0
AI_CORE,10,20.34,1.032,-34.53,0.589,4971746.0
