date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,recover_opp,recover_fire,frag_fire,chop,fold
2017-01-06,0.6058915523790749,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-01-13,0.6070117208340166,0.002234741784037559,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-01-20,0.6206697248841644,0.0009753424657534247,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-01-27,0.5806248799836314,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-02-03,0.5955351870491852,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-02-10,0.5924350041933163,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-02-17,0.6374556266680573,0.006217340722764875,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-02-24,0.6577210341764458,0.002344370860927152,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-03-03,0.6507705648102571,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-03-10,0.6587160115491761,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-03-17,0.6267265883767615,0.0068238643736990455,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-03-24,0.5007344649115998,0.0068238643736990455,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-03-31,0.594394613416524,0.0068238643736990455,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-04-07,0.5720337834123325,0.008699615876705057,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-04-21,0.5563854188354685,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-04-28,0.561893641986643,0.0068238643736990455,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-05-05,0.5080109432919238,0.004355223711748403,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-05-12,0.567606987306264,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-05-19,0.5957300389792286,0.0,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,1,0,1
2017-05-26,0.4876110786206554,0.0028262548262548265,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-06-02,0.46049462442157324,0.002358306188925081,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-06-09,0.48965571458226326,0.017950074869576792,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-06-16,0.4289759315234692,0.04196382781668337,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-06-23,0.3654342870194533,0.03683281167064355,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-06-30,0.3368167599191448,0.06312439770824109,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-07-07,0.31714146102362223,0.06458123476140804,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-07-14,0.32494926935910623,0.1433561561625415,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
2017-07-21,0.36675001380316957,0.05543577597904551,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.55,0,0,0,0,1
