date,avg_corr_21,avg_corr_63,xs_disp_5d,xs_disp_21d,breadth_63d,qqq_ret_5d,qqq_ret_21d,qqq_drawdown,qqq_vol_21,vix_level,vix_z_63,qqq_above_ema20,trend_mean,mom_mean,rel_mean,rel_top_mean,rel_minus_mom,rel_minus_trend,n_members,vix_spike,corr_jump,breadth_break,dd_break,vol_spike,rel_break,breadth_recovery,corr_normalization,reclaim_ema,rel_recovery,ret_recovery,stress_events,recovery_events,stress_intensity,recovery_intensity,intensity_spread,fold
2017-01-06,0.3718083018614341,0.43880945544362865,0.041466002450164054,0.04599043129255682,0.7,0.018544762085475064,0.04629160705137747,0.0,0.09908631820684671,11.319999694824219,-1.0974518876532018,1.0,0.975,0.6508930938072951,0.5920626848705978,0.8071881282855546,-0.05883040893669733,-0.3829373151294022,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.3490874402987334,12.195041507953013,-8.84595406765428,1
2017-01-13,0.39906955556112117,0.42846671806002773,0.028328102026682265,0.04259436736788314,0.9,0.010087822337760066,0.025437520516689682,0.0,0.0778110202229801,11.229999542236328,-0.9987704669363995,1.0,0.975,0.6668097980472617,0.5856551600344676,0.7814402112068614,-0.0811546380127941,-0.3893448399655324,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.2565895398678526,12.831197217608896,-9.574607677741042,1
2017-01-20,0.3750069793113137,0.4407338403799067,0.04562088559287222,0.05804621047078228,0.8,0.004154897991745399,0.02631351222672018,0.0,0.07607681935010253,11.539999961853027,-0.7973915746544965,1.0,1.0,0.6709011541278211,0.5794812581294557,0.7595557767653864,-0.09141989599836542,-0.4205187418705443,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.1825912195231485,14.140121785333603,-10.957530565810455,1
2017-01-27,0.2648558243738984,0.4405031681280417,0.026698564462380746,0.07766992423769897,1.0,0.02068984764213,0.04121846928842188,0.0,0.08055301839978624,10.579999923706055,-1.0605933544252952,1.0,1.0,0.6878220949700833,0.572578276372696,0.7134925885786637,-0.1152438185973873,-0.427421723627304,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,3.1233925632473847,14.387261439513368,-11.263868876265985,1
2017-02-03,0.2159055654207346,0.42605644826691524,0.05508410446706853,0.04368066698238715,1.0,-0.0009540175656855832,0.045677570164424086,-0.0009540175656855832,0.06560174503701337,10.970000267028809,-0.8328229418700992,1.0,1.0,0.6839596688944501,0.5965804114874247,0.7928695614419375,-0.08737925740702546,-0.4034195885125753,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0760336382267734,15.384973162857182,-12.308939524630409,1
2017-02-10,0.17808424399670097,0.3274330365460546,0.0325936164611962,0.0628614045693702,1.0,0.013526498203167092,0.036199642968175016,0.0,0.06009350003746783,10.850000381469727,-1.363504202463856,1.0,1.0,0.7014605632009951,0.600779217814871,0.8138793870190254,-0.10068134538612417,-0.399220782185129,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.038146498210285,16.98314254153223,-13.944996043321947,1
2017-02-17,0.1734842166828117,0.3107644789324712,0.028631984893951353,0.09865423615740503,1.0,0.019076904108022097,0.05553740771426918,0.0,0.05905340224812118,11.489999771118164,-0.6075205897388963,1.0,1.0,0.7062130991821925,0.5863772924236337,0.7384282435134221,-0.11983580675855887,-0.4136227075763663,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,3.0078367861970943,18.261678044472273,-15.253841258275179,1
2017-02-24,0.16564121379796584,0.30443263481995664,0.03387929101404995,0.11674540233033733,1.0,0.007814302546194751,0.038507600940947295,-0.0018390681126575492,0.05482906318401054,11.470000267028809,-0.5624380748538432,1.0,1.0,0.6984477996059615,0.5678301459920053,0.6847576651855017,-0.13061765361395616,-0.4321698540079947,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,2.9835890165865413,19.284506446824302,-16.30091743023776,1
2017-03-03,0.29595617272767527,0.27439571022646414,0.03263785101519242,0.06500313561682182,1.0,0.005834528671423422,0.044566803314128434,-0.0031954757977918913,0.05696729875370539,10.960000038146973,-1.1329606250537496,1.0,1.0,0.6893445584980145,0.563366442851358,0.66771315611303,-0.1259781156466565,-0.43663355714864205,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.9641908008980993,19.30276916870593,-16.33857836780783,1
2017-03-10,0.3794495538669519,0.275905205438593,0.020728799354435484,0.07011810268709465,1.0,0.0028242455283760126,0.038656111136656124,-0.00038025507764893884,0.05963029550784025,11.65999984741211,-0.18051030635712068,1.0,1.0,0.6968111612833658,0.5644379717221781,0.6642281953240711,-0.1323731895611877,-0.43556202827782187,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.9486722283473457,18.51737934621123,-15.568707117863884,1
