date,fragility_prob,recovery_prob,action,ext_scale,recovery_override_scale,rel_tilt,stress_thr,recovery_thr,prob_trigger,recovery_prob_trigger,recover_opp,recover_fire,frag_fire,chop,recover_cond_count,fold
2017-01-06,0.6058915523790749,0.2597185065690967,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-01-13,0.6070117208340166,0.324789646592904,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-01-20,0.6206697248841644,0.2677020142230768,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-01-27,0.5806248799836314,0.31222266402010423,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,5,1
2017-02-03,0.5955351870491852,0.267571975589185,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,5,1
2017-02-10,0.5924350041933163,0.303028366122267,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-02-17,0.6374556266680573,0.2692211829888999,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-02-24,0.6577210341764458,0.29068724700770354,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-03-03,0.6507705648102571,0.2950966849034892,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-03-10,0.6587160115491761,0.28807648996501584,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-03-17,0.6267265883767615,0.3323828065549993,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-03-24,0.5007344649115998,0.37892113227413693,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,4,1
2017-03-31,0.594394613416524,0.3413734889490556,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-04-07,0.5720337834123325,0.3700312590847406,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,3,1
2017-04-21,0.5563854188354685,0.3775426033747118,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,4,1
2017-04-28,0.561893641986643,0.3020670310472945,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,3,1
2017-05-05,0.5080109432919238,0.25185547880885356,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,3,1
2017-05-12,0.567606987306264,0.2159896289083104,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,3,1
2017-05-19,0.5957300389792286,0.3305483174615904,DEFENSIVE_LIGHT,0.85,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,1,0,3,1
2017-05-26,0.4876110786206554,0.31760199824808333,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,4,1
2017-06-02,0.46049462442157324,0.34862265914826596,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,4,1
2017-06-09,0.48965571458226326,0.3114006756930218,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,5,1
2017-06-16,0.4289759315234692,0.4020198615103488,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,4,1
2017-06-23,0.3654342870194533,0.3162432825598548,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,4,1
2017-06-30,0.3368167599191448,0.4020946663723161,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,4,1
2017-07-07,0.31714146102362223,0.4373855431026829,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,3,1
2017-07-14,0.32494926935910623,0.43328088752069455,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,3,1
2017-07-21,0.36675001380316957,0.4102726627976923,BASELINE,1.0,0.0,,8.215510510438504,14.251949038020804,0.55,0.48,0,0,0,0,5,1
