date,corr_rho,corr_scale,corr_state
2005-01-03,0.0,1.0,0
2005-01-04,0.0,1.0,0
2005-01-05,0.0,1.0,0
2005-01-06,0.0,1.0,0
2005-01-07,0.0,1.0,0
2005-01-10,0.0,1.0,0
2005-01-11,0.0,1.0,0
2005-01-12,0.0,1.0,0
2005-01-13,0.0,1.0,0
2005-01-14,0.0,1.0,0
2005-01-18,0.0,1.0,0
2005-01-19,0.0,1.0,0
2005-01-20,0.0,1.0,0
2005-01-21,0.0,1.0,0
2005-01-24,0.0,1.0,0
2005-01-25,0.0,1.0,0
2005-01-26,0.0,1.0,0
2005-01-27,0.0,1.0,0
2005-01-28,0.0,1.0,0
2005-01-31,0.0,1.0,0
2005-02-01,0.0,1.0,0
2005-02-02,0.1866568311474749,1.0,0
2005-02-03,0.1599083008707628,1.0,0
2005-02-04,0.11933455275944307,1.0,0
2005-02-07,0.13367374065728171,1.0,0
2005-02-08,0.1340383527620838,1.0,0
2005-02-09,0.14281863382356355,1.0,0
2005-02-10,0.15698833006414267,1.0,0
2005-02-11,0.16011505548556215,1.0,0
2005-02-14,0.19122233629195293,1.0,0
2005-02-15,0.21082866984637288,1.0,0
2005-02-16,0.20058556563749322,1.0,0
2005-02-17,0.2027341493491633,1.0,0
2005-02-18,0.19530843358994743,1.0,0
2005-02-22,0.16731899570835343,1.0,0
2005-02-23,0.16228013376971373,1.0,0
2005-02-24,0.13175335145617284,1.0,0
2005-02-25,0.13001665731155818,1.0,0
2005-02-28,0.12611240601016385,1.0,0
2005-03-01,0.13340589112133988,1.0,0
2005-03-02,0.13234540886693094,1.0,0
2005-03-03,0.12855018387148545,1.0,0
2005-03-04,0.1297942231548566,1.0,0
2005-03-07,0.1283648241648782,1.0,0
2005-03-08,0.1570883542906727,1.0,0
2005-03-09,0.17104920975110283,1.0,0
2005-03-10,0.17758973852458418,1.0,0
2005-03-11,0.15785936215397475,1.0,0
2005-03-14,0.14602045025399532,1.0,0
2005-03-15,0.14468844759086288,1.0,0
2005-03-16,0.12473903224812836,1.0,0
2005-03-17,0.11446718692684278,1.0,0
2005-03-18,0.12274832743374936,1.0,0
2005-03-21,0.11224616285842934,1.0,0
2005-03-22,0.10700983717529103,1.0,0
2005-03-23,0.11997187437150572,1.0,0
2005-03-24,0.11999951858325275,1.0,0
2005-03-28,0.12394246391358202,1.0,0
2005-03-29,0.11310632723841924,1.0,0
2005-03-30,0.11455035674081589,1.0,0
2005-03-31,0.17329026037446738,1.0,0
2005-04-01,0.1634923968955739,1.0,0
2005-04-04,0.16813812791283778,1.0,0
2005-04-05,0.1660288453055113,1.0,0
2005-04-06,0.1727531843534474,1.0,0
2005-04-07,0.16812944019001586,1.0,0
2005-04-08,0.17948780232077602,1.0,0
2005-04-11,0.1479203574816328,1.0,0
2005-04-12,0.15301076399166982,1.0,0
2005-04-13,0.14375565344426663,1.0,0
2005-04-14,0.1833610533945412,1.0,0
2005-04-15,0.21075267387352806,1.0,0
2005-04-18,0.2793608634673482,1.0,0
2005-04-19,0.23371860653788745,1.0,0
2005-04-20,0.23932548474320126,1.0,0
2005-04-21,0.22641165470685876,1.0,0
2005-04-22,0.2688424510082317,1.0,0
2005-04-25,0.2500418491506934,1.0,0
2005-04-26,0.24976657887520498,1.0,0
2005-04-27,0.24885888190480188,1.0,0
2005-04-28,0.24081507539065836,1.0,0
2005-04-29,0.21324361657286509,1.0,0
2005-05-02,0.2188582250234705,1.0,0
2005-05-03,0.21409452358624595,1.0,0
2005-05-04,0.21920344750910212,1.0,0
2005-05-05,0.2334300047066458,1.0,0
2005-05-06,0.23356799211666793,1.0,0
2005-05-09,0.23137645625340278,1.0,0
2005-05-10,0.24787852477657554,1.0,0
2005-05-11,0.24733872601745696,1.0,0
2005-05-12,0.246364462026451,1.0,0
2005-05-13,0.2395201448879147,1.0,0
2005-05-16,0.2189176338022096,1.0,0
2005-05-17,0.13710019716886568,1.0,0
2005-05-18,0.15941114869783343,1.0,0
2005-05-19,0.1725633168336023,1.0,0
2005-05-20,0.1595650427760873,1.0,0
2005-05-23,0.10516640472780255,1.0,0
2005-05-24,0.12944272371916415,1.0,0
2005-05-25,0.13494097812389896,1.0,0
2005-05-26,0.10945047477549118,1.0,0
2005-05-27,0.09450961538691405,1.0,0
2005-05-31,0.0901633800553234,1.0,0
2005-06-01,0.08250130225642588,1.0,0
2005-06-02,0.10248523282753301,1.0,0
