Label,alpha_ann,t_alpha,p_alpha,beta_mkt,beta_smb,beta_hml,beta_rmw,beta_cma,beta_umd,R2_adj
MAHORAGA_6_1,0.105826,2.879,0.003994,0.3817,0.0554,-0.1423,-0.1027,-0.3216,0.2182,0.234
OOS_continuous,0.127808,2.075,0.038027,0.3911,0.0185,-0.2277,0.0324,-0.3173,0.1888,0.2614
