Universe,N_tickers,CAGR%,Sharpe,MaxDD%,Calmar,FinalEq
FULL_MEGA,12,20.73,1.136,-23.35,0.888,5322574.0
SEMIS,10,10.71,0.643,-39.7,0.27,855454.0
PLATFORMS,10,11.37,0.723,-27.3,0.416,969659.0
AI_CORE,10,18.11,1.003,-36.69,0.494,3348265.0
