Mode,CAGR%,Sharpe,MaxDD%,Calmar
IC_weights (0.33/0.33/0.33),15.14,0.866,-30.7,0.493
EQUAL_WEIGHTS (0.33/0.33/0.33),15.14,0.866,-30.7,0.493
