Regime,VIX_source,Days,Days%,CAGR%,CAGR_bench%,Excess_CAGR%,Sharpe,MaxDD%,Hit_Rate%
PANIC (VIX≥24),real,1013,19.1,-28.75,-41.21,12.46,-2.223,-74.27,19.8
CALM (<13),real,1063,20.0,68.53,72.44,-3.9,3.202,-15.67,50.7
NORMAL (13–24),real,3189,60.0,18.7,24.6,-5.89,0.979,-32.06,45.1
STRESS (≥24),real,1064,20.0,-28.17,-41.14,12.97,-2.132,-75.37,20.6
