ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,6932148223.075816,6390648363.920254,1.0,True,2020-01-01,True,False,False
AMZN,True,eligible,5531193051.791382,5280472590.958853,1.0,True,2020-01-01,True,False,False
MSFT,True,eligible,3048076053.153076,3018281920.7373605,1.0,True,2020-01-01,True,False,False
META,True,eligible,2618744604.4081626,2580024218.2534356,1.0,True,2020-01-01,True,False,False
AMD,True,eligible,2094545987.5846736,1898275639.5032732,1.0,True,2020-01-01,True,False,False
NFLX,True,eligible,1854873938.441785,2153914155.0659904,1.0,True,2020-01-01,True,False,False
NVDA,True,eligible,1793195265.6104405,1741756949.8105428,1.0,True,2020-01-01,True,False,False
GOOGL,True,eligible,1692491569.8318481,1699227370.317005,1.0,True,2020-01-01,True,False,False
MU,True,eligible,1061355151.8931834,914363188.5798802,1.0,True,2020-01-01,True,False,False
INTC,True,eligible,967733909.7662735,909628327.2011651,1.0,True,2020-01-01,True,False,False
NOW,True,eligible,910231173.8134384,788821690.6601436,1.0,False,2020-01-01,False,False,False
CRM,True,eligible,826117763.0550131,736031979.0981232,1.0,False,2020-01-01,False,False,False
SHOP,True,eligible,822042845.3493754,764594606.3038054,1.0,False,2020-01-01,False,False,False
ADBE,True,eligible,703234597.7739462,712829649.6001713,1.0,False,2020-01-01,False,False,False
QCOM,True,eligible,648242627.0230612,624603839.0048072,1.0,False,2020-01-01,False,False,False
AVGO,True,eligible,630682742.663002,549791192.8631918,1.0,False,2020-01-01,False,False,False
AMAT,True,eligible,400086741.8701045,377366595.9682283,1.0,False,2020-01-01,False,False,False
LRCX,True,eligible,360338853.8628896,375195301.15539306,1.0,False,2020-01-01,False,False,False
TSM,True,eligible,290499786.31162006,316047780.08815825,1.0,False,2020-01-01,False,False,False
ASML,True,eligible,131600224.74731445,157415896.94998604,1.0,False,2020-01-01,False,False,False
ARM,False,not_live_yet<2023-09-14>,0.0,0.0,,False,2020-01-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2020-01-01,False,False,False
SMCI,False,addv_fail,0.0,2476704.1345153535,,False,2020-01-01,False,False,False
