date,avg_corr_21,avg_corr_63,xs_disp_5d,xs_disp_21d,breadth_63d,qqq_ret_5d,qqq_ret_21d,qqq_drawdown,qqq_vol_21,vix_level,vix_z_63,qqq_above_ema20,trend_mean,mom_mean,rel_mean,rel_top_mean,rel_minus_mom,rel_minus_trend,n_members
2014-10-03,0.4676061357260405,0.26827430938057256,0.018707594717311607,0.03796378329791355,0.4,-0.006175325320997627,-0.009924971383340253,-0.01871217686041049,0.13926040475884527,14.550000190734863,0.7142616884989972,0.0,0.95,0.5640983474464467,0.4988891483794576,0.5593443021346878,-0.06520919906698913,-0.4511108516205424,10.0
2014-10-10,0.6282180567198333,0.36107714422791953,0.02870292318408178,0.03577369529232574,0.3,-0.03799516482782883,-0.05325862183532126,-0.05599636944414055,0.18483043817858985,21.239999771118164,3.5731814791857457,0.0,0.925,0.5785438792882102,0.49562220040013105,0.5664848878526684,-0.08292167888807911,-0.429377799599869,10.0
2014-10-17,0.5291813132648274,0.34418464698876183,0.07845039940406742,0.06250400103191271,0.4,-0.015247946114947064,-0.07039048593517072,-0.07039048593517072,0.18948744087177294,21.989999771118164,2.1248350909676454,0.0,0.9,0.5327216705615138,0.4964764504197003,0.5593815352443116,-0.03624522014181347,-0.40352354958029973,10.0
2014-10-24,0.4788244512686717,0.37631080478154855,0.03880833805353241,0.06831945993306181,0.6,0.06042996225100339,0.00900340608016248,-0.014214218092059472,0.21500460858331377,16.110000610351562,0.30200472579677656,1.0,0.825,0.5603121082960023,0.4979133819749647,0.5516907734517817,-0.0623987263210376,-0.32708661802503525,10.0
2014-10-31,0.47842701600440174,0.39774645949863124,0.03794565108609979,0.06704216027908481,0.7,0.028189086061435775,0.043102566182190216,0.0,0.21433587699750165,14.029999732971191,-0.3027963494910137,1.0,0.825,0.560124314360102,0.4849050442845549,0.5241346189660627,-0.07521927007554713,-0.34009495571544507,10.0
2014-11-07,0.29812499438676265,0.40704186538841036,0.020803384389082483,0.0849741168867155,0.7,0.001972475077704816,0.04893671937304611,-0.0009831239118027746,0.18480944377413425,13.119999885559082,-0.5292759285911883,1.0,0.85,0.5775166646119712,0.49235400576802835,0.5394335490662434,-0.0851626588439428,-0.35764599423197163,10.0
2014-11-14,0.36922959289632357,0.3931119217661214,0.03049035225283561,0.05345706259739532,0.7,0.015944785449330423,0.12452360473257129,0.0,0.12610090470487167,13.3100004196167,-0.47817013010686954,1.0,0.85,0.5735070283196269,0.4892709364878991,0.5426195940583186,-0.08423609183172776,-0.3607290635121009,10.0
2014-11-21,0.32522952192762794,0.39238581910391335,0.032954774310168355,0.07493496030697608,0.5,0.006297249920474535,0.06184823648750837,0.0,0.0812337970112629,12.899999618530273,-0.6643581083885383,1.0,0.8,0.5708566613426344,0.48505999105096026,0.5484411385304525,-0.0857966702916741,-0.3149400089490398,10.0
2014-11-28,0.2477850884134307,0.39226603261616816,0.033520171336551566,0.07128749288713146,0.7,0.02257156339203048,0.0621181448557071,0.0,0.0655100087495931,13.329999923706055,-0.5520479549509707,1.0,0.8,0.5681280929275097,0.47999984610202373,0.5323480001957075,-0.08812824682548592,-0.3200001538979763,10.0
2014-12-05,0.15317964914981028,0.38854204681299453,0.032096038664651584,0.05114743557444033,0.5,-0.005942838726744615,0.03955806571501941,-0.005942838726744615,0.06878346095555261,11.890000343322754,-1.0120571437517705,1.0,0.775,0.5532381262661583,0.4732385121436481,0.5339679036249969,-0.07999961412251022,-0.30176148785635193,10.0
