Label,FinalEquity,TotalReturn,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,CVaR_5,AvgExposure,TimeInMkt,TurnoverAnn,Days
OOS_continuous,556670.426011,4.566704,0.207451,0.203247,1.029261,1.68555,-0.239368,0.866662,-0.030126,0.539488,0.837908,8.036263,2295
QQQ,531822.333709,4.318223,0.201412,0.228498,0.917784,1.455634,-0.352416,0.571519,-0.034355,1.0,1.0,0.0,2295
EQW_Tech_OOS,899366.143101,7.993661,0.272758,0.309178,0.935206,1.51363,-0.554821,0.491615,-0.045658,1.0,1.0,0.164706,2295
MOM_12_1_TopK_OOS,1118425.865094,10.184259,0.30359,0.398301,0.865334,1.430604,-0.535018,0.56744,-0.05814,1.0,1.0,4.684967,2295
