stress_q,recovery_q,decay,stress_scale,recovery_scale,score,stage,defensive_scale,recovery_floor,rel_tilt,stress_trigger_q,recovery_trigger_q,base_sharpe,ov_sharpe,ov_cagr,ov_maxdd,intervention_rate,recovery_rate,fold
0.9,0.8,0.8,1.0,0.8,1.2603233292345295,hawkes_only,,,,,,,,,,,,1
0.9,0.8,0.8,0.8,0.8,1.2603233292345293,hawkes_only,,,,,,,,,,,,1
0.9,0.8,0.8,1.0,1.0,1.260323329234529,hawkes_only,,,,,,,,,,,,1
0.9,0.8,0.8,0.8,1.0,1.2603233292345288,hawkes_only,,,,,,,,,,,,1
0.9,0.85,0.8,1.0,0.8,1.2548051185362474,hawkes_only,,,,,,,,,,,,1
0.9,0.85,0.8,1.0,1.0,1.2548051185362474,hawkes_only,,,,,,,,,,,,1
0.9,0.85,0.8,0.8,0.8,1.2548051185362472,hawkes_only,,,,,,,,,,,,1
0.9,0.85,0.8,0.8,1.0,1.2548051185362472,hawkes_only,,,,,,,,,,,,1
0.9,0.8,0.65,1.0,1.0,1.216736017718314,hawkes_only,,,,,,,,,,,,1
0.9,0.8,0.65,0.8,1.0,1.2167360177183135,hawkes_only,,,,,,,,,,,,1
0.9,0.8,0.65,1.0,0.8,1.2167360177183135,hawkes_only,,,,,,,,,,,,1
0.9,0.8,0.65,0.8,0.8,1.216736017718313,hawkes_only,,,,,,,,,,,,1
0.9,0.85,0.65,1.0,1.0,1.2077514649270227,hawkes_only,,,,,,,,,,,,1
0.9,0.85,0.65,1.0,0.8,1.2077514649270227,hawkes_only,,,,,,,,,,,,1
0.9,0.85,0.65,0.8,1.0,1.2077514649270222,hawkes_only,,,,,,,,,,,,1
0.9,0.85,0.65,0.8,0.8,1.2077514649270222,hawkes_only,,,,,,,,,,,,1
0.85,0.8,0.8,1.0,0.8,1.0818405762413685,hawkes_only,,,,,,,,,,,,1
0.85,0.8,0.8,0.8,0.8,1.081840576241368,hawkes_only,,,,,,,,,,,,1
0.85,0.8,0.8,1.0,1.0,1.081840576241368,hawkes_only,,,,,,,,,,,,1
0.85,0.8,0.8,0.8,1.0,1.0818405762413676,hawkes_only,,,,,,,,,,,,1
0.85,0.8,0.65,0.8,1.0,1.08158585079934,hawkes_only,,,,,,,,,,,,1
0.85,0.8,0.65,0.8,0.8,1.0815858507993399,hawkes_only,,,,,,,,,,,,1
0.85,0.8,0.65,1.0,1.0,1.0815858507993397,hawkes_only,,,,,,,,,,,,1
0.85,0.8,0.65,1.0,0.8,1.0815858507993394,hawkes_only,,,,,,,,,,,,1
0.85,0.85,0.8,1.0,1.0,1.0763223655430865,hawkes_only,,,,,,,,,,,,1
0.85,0.85,0.8,1.0,0.8,1.0763223655430865,hawkes_only,,,,,,,,,,,,1
0.85,0.85,0.8,0.8,1.0,1.076322365543086,hawkes_only,,,,,,,,,,,,1
0.85,0.85,0.8,0.8,0.8,1.076322365543086,hawkes_only,,,,,,,,,,,,1
0.85,0.85,0.65,0.8,0.8,1.0726012980080488,hawkes_only,,,,,,,,,,,,1
0.85,0.85,0.65,0.8,1.0,1.0726012980080486,hawkes_only,,,,,,,,,,,,1
0.85,0.85,0.65,1.0,0.8,1.0726012980080484,hawkes_only,,,,,,,,,,,,1
0.85,0.85,0.65,1.0,1.0,1.0726012980080482,hawkes_only,,,,,,,,,,,,1
0.9,0.8,0.8,1.0,0.8,0.05690003539906411,overlay,0.8,0.35,0.6,0.85,0.8,1.0606847674298214,1.1811045914705423,0.172874679387512,-0.15869738175860204,0.30327868852459017,0.0,1
