Universe,N_tickers,CAGR%,Sharpe,MaxDD%,Calmar,FinalEq
FULL_MEGA,12,20.9,1.052,-27.45,0.762,5483078.0
PLATFORMS,10,12.76,0.752,-29.66,0.43,1260589.0
AI_CORE,10,19.87,0.971,-38.33,0.519,4578557.0
