Label,FinalEquity,TotalReturn,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,CVaR_5,AvgExposure,TimeInMkt,TurnoverAnn,Days
OOS_WalkForward,248071.666951,1.480717,0.175497,0.214304,0.861704,1.389267,-0.256745,0.683545,-0.031312,,0.0,0.0,1416
QQQ,456731.82928,3.567318,0.31038,0.179359,1.597309,2.646772,-0.227893,1.361956,-0.026215,1.0,1.0,0.0,1416
