Episode,Days,Total%,Bench_Total%,Excess%,WorstDay%,Sharpe,MaxDD%,Calmar,AvgExp%
GFC_2008,377,-11.03,-28.72,17.7,-3.78,-0.602,-13.01,-0.577,23.3
EURO_DEBT_2011,127,-4.97,-1.68,-3.29,-3.05,-0.695,-13.19,-0.73,29.0
Q4_2018,63,-9.05,-16.77,7.72,-1.41,-3.559,-10.45,-3.024,30.5
COVID_2020,94,-0.51,5.85,-6.37,-5.93,0.003,-11.22,-0.122,23.7
RATES_2022,251,-23.74,-32.71,8.97,-2.97,-1.923,-25.84,-0.922,29.7
