Mode,CAGR%,Sharpe,MaxDD%,Calmar,AvgExp%
RESEARCH (keep_cash=True),15.16,0.866,-30.87,0.491,54.1
AGGRESSIVE (keep_cash=False),16.69,0.848,-36.48,0.457,59.5
