Mode,CAGR%,Sharpe,MaxDD%,Calmar,AvgExp%
RESEARCH (keep_cash=True),22.22,1.155,-21.08,1.054,54.3
AGGRESSIVE (keep_cash=False),24.61,1.082,-30.24,0.814,62.3
