Label,conditional,alpha_ann,t_alpha,p_alpha,beta,R2,NW_lags,n_obs,sig_5pct,sig_1pct
MAHORAGA_4,False,0.168569,4.337,1.4e-05,0.3963,0.2048,9,5316,True,True
OOS_continuous,False,0.14466,2.425,0.015304,0.394,0.2285,8,2295,True,False
MAHORAGA_4_conditional,True,0.207747,4.569,5e-06,0.7042,0.3649,9,4086,True,True
