date,avg_corr_21,avg_corr_63,xs_disp_5d,xs_disp_21d,breadth_63d,qqq_vol_21,qqq_vol_63,qqq_ret_5d,qqq_ret_21d,qqq_drawdown,vix_level,vix_chg_5d,vix_z_63,crisis_state,turb_scale,corr_rho,corr_scale,trend_mean,mom_mean,rel_mean,trend_top_mean,mom_top_mean,rel_top_mean,rel_minus_mom,rel_minus_trend,n_members
2005-01-07,,,,,0.0,0.13875841815267578,0.13875841815267578,,,-0.024050148969047225,13.489999771118164,,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2005-01-14,,,0.10706580705340375,,0.0,0.14319902942981347,0.14319902942981347,-0.003113817855285639,,-0.027089079041050734,12.430000305175781,-0.07857668524293249,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2005-01-21,,,0.025940631339487777,,0.0,0.15764697555882928,0.15764697555882928,-0.026792655133764165,,-0.06202505750283338,14.359999656677246,0.11838002227616795,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2005-01-28,,,0.04341778301437945,,0.0,0.15539656245738181,0.15539656245738181,-0.0035091602794534715,,-0.06531656191416702,13.239999771118164,-0.07799442286464775,0.0,1.0,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2005-02-04,,,0.09036417311585984,0.14882032645684165,0.0,0.16431316557715833,0.16386792960046184,0.022480713954617038,-0.02049854926096195,-0.04430421090444148,11.210000038146973,-0.15332324532206176,0.0,1.0,0.4,0.11933455275944307,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2005-02-11,,,0.041829215484133576,0.14355811172841615,0.0,0.17657657494564272,0.16345036503217167,-0.0013239036393372094,-0.02280965380642319,-0.04556946003772422,11.430000305175781,0.019625358276553095,0.0,1.0,0.4,0.16011505548556215,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2005-02-18,,,0.07551329635943901,0.12132745506139427,0.0,0.15073797929781646,0.15680592881968386,-0.009284236831723192,0.0,-0.054430619210163456,11.180000305175781,-0.021872265382774647,0.0,1.0,0.4,0.19530843358994743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2005-02-25,,,0.06986626296509753,0.13253220930972168,0.0,0.1468819367668674,0.15648874603474378,0.004003895888920583,0.012651892282810273,-0.04759458320309318,11.489999771118164,-0.02378935223072276,0.0,1.0,0.4,0.13001665731155818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2005-03-04,,,0.0333051096101487,0.11954250184074493,0.0,0.15271735352715207,0.15363843764965393,-0.0026585002231166444,-0.0015962041423008833,-0.05012655321614534,11.9399995803833,0.039164475041703506,0.0,1.0,0.4,0.1297942231548566,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2005-03-11,,,0.02473598546123815,0.08043565991549981,0.0,0.14093989795089096,0.152254787420734,-0.009328778694090212,0.001616238518606039,-0.05898771238858458,12.800000190734863,0.0720268543195337,0.0,1.0,0.4,0.15785936215397475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
