Date,mode,mode_conf,severity_prob,external_scale,corr_rho,corr_scale
2011-08-26,CASH_BIAS,0.7590933207844661,0.9944612219613043,0.1,0.8737170806425486,0.5914340230920441
2011-08-29,CASH_BIAS,0.7590933207844661,0.9944612219613043,0.1,0.8808088100538396,0.5651207608288211
2011-08-30,CASH_BIAS,0.7590933207844661,0.9944612219613043,0.1,0.8799719539403605,0.5682685747008382
2011-08-31,CASH_BIAS,0.7590933207844661,0.9944612219613043,0.1,0.8732858602681023,0.5930075477904775
2011-09-01,CASH_BIAS,0.7590933207844661,0.9944612219613043,0.1,0.8654040798867583,0.6212333254541965
2011-09-02,CASH_BIAS,0.7308682385153147,0.9881895577407626,0.1,0.8680497560831355,0.6118718683435519
2011-09-06,CASH_BIAS,0.7308682385153147,0.9881895577407626,0.1,0.8508917487351395,0.6705510635929598
2011-09-07,CASH_BIAS,0.7308682385153147,0.9881895577407626,0.1,0.8457315446681046,0.687258468749696
2011-09-08,CASH_BIAS,0.7308682385153147,0.9881895577407626,0.1,0.8178682631666416,0.7699611936442053
2011-09-09,CASH_BIAS,0.7287933003083314,0.9818040443445686,0.1,0.7951478769155249,0.8280170924646174
2011-09-12,CASH_BIAS,0.7287933003083314,0.9818040443445686,0.1,0.788352002988451,0.8437446797476217
2011-09-13,CASH_BIAS,0.7287933003083314,0.9818040443445686,0.1,0.7692308909386497,0.8839509767018434
2011-09-14,CASH_BIAS,0.7287933003083314,0.9818040443445686,0.1,0.7785720523304874,0.8650549172206237
2011-09-15,CASH_BIAS,0.7287933003083314,0.9818040443445686,0.1,0.7837704356986201,0.853922208432664
2011-09-16,CASH_BIAS,0.895907943090561,0.989173565057849,0.1,0.7202003062439287,0.9597707510470092
2011-09-19,CASH_BIAS,0.895907943090561,0.989173565057849,0.1,0.7028156461772165,0.9772286328072088
2011-09-20,CASH_BIAS,0.895907943090561,0.989173565057849,0.1,0.6358073801510503,1.0
2011-09-21,CASH_BIAS,0.895907943090561,0.989173565057849,0.1,0.6008601736423616,1.0
2011-09-22,CASH_BIAS,0.895907943090561,0.989173565057849,0.1,0.6078178434128136,1.0
2011-09-23,CASH_BIAS,0.6303406027274727,0.9573801090053939,0.1,0.5682605612643545,1.0
2011-09-26,CASH_BIAS,0.6303406027274727,0.9573801090053939,0.1,0.5804496368300734,1.0
2011-09-27,CASH_BIAS,0.6303406027274727,0.9573801090053939,0.1,0.5761494598360953,1.0
2011-09-28,CASH_BIAS,0.6303406027274727,0.9573801090053939,0.1,0.52943424545488,1.0
2011-09-29,CASH_BIAS,0.6303406027274727,0.9573801090053939,0.1,0.48214771456547634,1.0
2011-09-30,CASH_BIAS,0.6733131527212947,0.9875080637362222,0.1,0.5083751555846272,1.0
2011-10-03,CASH_BIAS,0.6733131527212947,0.9875080637362222,0.1,0.5423422508446123,1.0
2011-10-04,CASH_BIAS,0.6733131527212947,0.9875080637362222,0.1,0.5435151632682964,1.0
2011-10-05,CASH_BIAS,0.6733131527212947,0.9875080637362222,0.1,0.529521503889177,1.0
2011-10-06,CASH_BIAS,0.6733131527212947,0.9875080637362222,0.1,0.5587138881717061,1.0
2011-10-07,CASH_BIAS,0.7220786804596433,0.9893247688969631,0.1,0.5452802611581918,1.0
2011-10-10,CASH_BIAS,0.7220786804596433,0.9893247688969631,0.1,0.5423197327708674,1.0
2011-10-11,CASH_BIAS,0.7220786804596433,0.9893247688969631,0.1,0.5529743750688023,1.0
2011-10-12,CASH_BIAS,0.7220786804596433,0.9893247688969631,0.1,0.539703586123248,1.0
2011-10-13,CASH_BIAS,0.7220786804596433,0.9893247688969631,0.1,0.5378054668895154,1.0
2011-10-14,CASH_BIAS,0.8521244407920764,0.9690944145487586,0.1,0.5362440169801315,1.0
2011-10-17,CASH_BIAS,0.8521244407920764,0.9690944145487586,0.1,0.5513671694122,1.0
2011-10-18,CASH_BIAS,0.8521244407920764,0.9690944145487586,0.1,0.5688400152691087,1.0
2011-10-19,CASH_BIAS,0.8521244407920764,0.9690944145487586,0.1,0.5729137470585306,1.0
2011-10-20,CASH_BIAS,0.8521244407920764,0.9690944145487586,0.1,0.5487954636953829,1.0
2011-10-21,CASH_BIAS,0.7457731481250258,0.9802807835895528,0.1,0.5415477460310509,1.0
2011-10-24,CASH_BIAS,0.7457731481250258,0.9802807835895528,0.1,0.5275698687726249,1.0
2011-10-25,CASH_BIAS,0.7457731481250258,0.9802807835895528,0.1,0.5325252147421378,1.0
2011-10-26,CASH_BIAS,0.7457731481250258,0.9802807835895528,0.1,0.570090452285669,1.0
2011-10-27,CASH_BIAS,0.7457731481250258,0.9802807835895528,0.1,0.5393984469929691,1.0
2011-10-28,CASH_BIAS,0.8341181143660034,0.8551913993834389,0.1,0.5533717756960005,1.0
2011-10-31,CASH_BIAS,0.8341181143660034,0.8551913993834389,0.1,0.5280931670971468,1.0
2011-11-01,CASH_BIAS,0.8341181143660034,0.8551913993834389,0.1,0.5119810964591184,1.0
2011-11-02,CASH_BIAS,0.8341181143660034,0.8551913993834389,0.1,0.5183248679503977,1.0
2011-11-03,CASH_BIAS,0.8341181143660034,0.8551913993834389,0.1,0.5125372463026865,1.0
2011-11-04,CASH_BIAS,0.7003725858482125,0.9630166903895149,0.1,0.5274986215908342,1.0
2011-11-07,CASH_BIAS,0.7003725858482125,0.9630166903895149,0.1,0.5315559404197193,1.0
2011-11-08,CASH_BIAS,0.7003725858482125,0.9630166903895149,0.1,0.5280469047759249,1.0
2011-11-09,CASH_BIAS,0.7003725858482125,0.9630166903895149,0.1,0.5101790949427525,1.0
2011-11-10,CASH_BIAS,0.7003725858482125,0.9630166903895149,0.1,0.549133138844502,1.0
2011-11-11,CASH_BIAS,0.6552604199366173,0.9821220531005795,0.1,0.5427212755965363,1.0
2011-11-14,CASH_BIAS,0.6552604199366173,0.9821220531005795,0.1,0.5492092430484733,1.0
2011-11-15,CASH_BIAS,0.6552604199366173,0.9821220531005795,0.1,0.5547334211500063,1.0
2011-11-16,CASH_BIAS,0.6552604199366173,0.9821220531005795,0.1,0.5549567931631962,1.0
2011-11-17,CASH_BIAS,0.6552604199366173,0.9821220531005795,0.1,0.4857868927577564,1.0
2011-11-18,CASH_BIAS,0.7623425331218178,0.9852538552223374,0.1,0.5279993162320417,1.0
2011-11-21,CASH_BIAS,0.7623425331218178,0.9852538552223374,0.1,0.5277467894352984,1.0
2011-11-22,CASH_BIAS,0.7623425331218178,0.9852538552223374,0.1,0.5159712063282571,1.0
2011-11-23,CASH_BIAS,0.7623425331218178,0.9852538552223374,0.1,0.49366452607852956,1.0
2011-11-25,CASH_BIAS,0.7618878196958498,0.9813935303175878,0.1,0.5230486097182407,1.0
2011-11-28,CASH_BIAS,0.7618878196958498,0.9813935303175878,0.1,0.5687068564868011,1.0
2011-11-29,CASH_BIAS,0.7618878196958498,0.9813935303175878,0.1,0.594848683364419,1.0
2011-11-30,CASH_BIAS,0.7618878196958498,0.9813935303175878,0.1,0.6032757922879802,1.0
2011-12-01,CASH_BIAS,0.7618878196958498,0.9813935303175878,0.1,0.6056341614872565,1.0
2011-12-02,CASH_BIAS,0.5180209747740958,0.9855497737565121,0.1,0.5846209596459968,1.0
2011-12-05,CASH_BIAS,0.5180209747740958,0.9855497737565121,0.1,0.590863438815343,1.0
2011-12-06,CASH_BIAS,0.5180209747740958,0.9855497737565121,0.1,0.5656026326253284,1.0
2011-12-07,CASH_BIAS,0.5180209747740958,0.9855497737565121,0.1,0.5667787785364771,1.0
2011-12-08,CASH_BIAS,0.5180209747740958,0.9855497737565121,0.1,0.5637781720191821,1.0
2011-12-09,CASH_BIAS,0.5586371100708325,0.9683591925791283,0.1,0.5620465953296516,1.0
2011-12-12,CASH_BIAS,0.5586371100708325,0.9683591925791283,0.1,0.53589431842663,1.0
2011-12-13,CASH_BIAS,0.5586371100708325,0.9683591925791283,0.1,0.5286489765548079,1.0
2011-12-14,CASH_BIAS,0.5586371100708325,0.9683591925791283,0.1,0.512692796169875,1.0
2011-12-15,CASH_BIAS,0.5586371100708325,0.9683591925791283,0.1,0.5239275519620747,1.0
2011-12-16,BALANCED,0.694114212657122,0.12043350857766005,0.9217182194245209,0.5204922859377642,1.0
2011-12-19,BALANCED,0.694114212657122,0.12043350857766005,0.9217182194245209,0.5952931608936108,1.0
2011-12-20,BALANCED,0.694114212657122,0.12043350857766005,0.9217182194245209,0.5745850609926856,1.0
2011-12-21,BALANCED,0.694114212657122,0.12043350857766005,0.9217182194245209,0.619319436194163,1.0
2011-12-22,BALANCED,0.694114212657122,0.12043350857766005,0.9217182194245209,0.6384771553647584,1.0
2011-12-23,CASH_BIAS,0.8127772736975744,0.1308598488677937,0.1829882196471868,0.6437037357898759,1.0
2011-12-27,CASH_BIAS,0.8127772736975744,0.1308598488677937,0.1829882196471868,0.6235015110744867,1.0
2011-12-28,CASH_BIAS,0.8127772736975744,0.1308598488677937,0.1829882196471868,0.6103253835826078,1.0
2011-12-29,CASH_BIAS,0.8127772736975744,0.1308598488677937,0.1829882196471868,0.5518790035659101,1.0
2011-12-30,BALANCED,0.6350332292405535,0.19881152354281093,0.8707725096971729,0.5562175399066506,1.0
2012-01-03,BALANCED,0.6350332292405535,0.19881152354281093,0.8707725096971729,0.5334046063309277,1.0
2012-01-04,BALANCED,0.6350332292405535,0.19881152354281093,0.8707725096971729,0.574854297660512,1.0
2012-01-05,BALANCED,0.6350332292405535,0.19881152354281093,0.8707725096971729,0.5621596300702311,1.0
2012-01-06,CASH_BIAS,0.8188977260009165,0.1488777502864456,0.18064589246276208,0.5489558923894752,1.0
2012-01-09,CASH_BIAS,0.8188977260009165,0.1488777502864456,0.18064589246276208,0.5302421252981887,1.0
2012-01-10,CASH_BIAS,0.8188977260009165,0.1488777502864456,0.18064589246276208,0.49646439513565466,1.0
2012-01-11,CASH_BIAS,0.8188977260009165,0.1488777502864456,0.18064589246276208,0.4750792733049915,1.0
2012-01-12,CASH_BIAS,0.8188977260009165,0.1488777502864456,0.18064589246276208,0.46249743041087144,1.0
2012-01-13,BALANCED,0.7299136162959536,0.1227683367309725,0.9202005811248679,0.463268821669222,1.0
2012-01-17,BALANCED,0.7299136162959536,0.1227683367309725,0.9202005811248679,0.43944809422431846,1.0
2012-01-18,BALANCED,0.7299136162959536,0.1227683367309725,0.9202005811248679,0.4031388390992561,1.0
2012-01-19,BALANCED,0.7299136162959536,0.1227683367309725,0.9202005811248679,0.4117362081136557,1.0
2012-01-20,MOM_HEAVY,0.770995636941235,0.03521739753366513,0.9771086916031176,0.4082399680438425,1.0
2012-01-23,MOM_HEAVY,0.770995636941235,0.03521739753366513,0.9771086916031176,0.3119268154857908,1.0
2012-01-24,MOM_HEAVY,0.770995636941235,0.03521739753366513,0.9771086916031176,0.25241502882327244,1.0
2012-01-25,MOM_HEAVY,0.770995636941235,0.03521739753366513,0.9771086916031176,0.2016005379222539,1.0
2012-01-26,MOM_HEAVY,0.770995636941235,0.03521739753366513,0.9771086916031176,0.17025269749875563,1.0
2012-01-27,REL_HEAVY,0.6851018156110068,0.01574285882886505,0.9897671417612377,0.14207108914280048,1.0
2012-01-30,REL_HEAVY,0.6851018156110068,0.01574285882886505,0.9897671417612377,0.14146356673184388,1.0
2012-01-31,REL_HEAVY,0.6851018156110068,0.01574285882886505,0.9897671417612377,0.10321512084159137,1.0
2012-02-01,REL_HEAVY,0.6851018156110068,0.01574285882886505,0.9897671417612377,0.10232096509863547,1.0
2012-02-02,REL_HEAVY,0.6851018156110068,0.01574285882886505,0.9897671417612377,0.07856112087429325,1.0
2012-02-03,BALANCED,0.7617784866735507,0.03566656170281739,0.9768167348931687,0.04043354350603445,1.0
2012-02-06,BALANCED,0.7617784866735507,0.03566656170281739,0.9768167348931687,0.06395114274169199,1.0
2012-02-07,BALANCED,0.7617784866735507,0.03566656170281739,0.9768167348931687,0.065536442241127,1.0
2012-02-08,BALANCED,0.7617784866735507,0.03566656170281739,0.9768167348931687,0.06569849363483288,1.0
2012-02-09,BALANCED,0.7617784866735507,0.03566656170281739,0.9768167348931687,0.061964425056925024,1.0
2012-02-10,BALANCED,0.5728046112089583,0.055875737724859424,0.9636807704788414,0.06471802140161323,1.0
2012-02-13,BALANCED,0.5728046112089583,0.055875737724859424,0.9636807704788414,0.0715362439328514,1.0
2012-02-14,BALANCED,0.5728046112089583,0.055875737724859424,0.9636807704788414,0.07046177977875487,1.0
2012-02-15,BALANCED,0.5728046112089583,0.055875737724859424,0.9636807704788414,0.05539872087967542,1.0
2012-02-16,BALANCED,0.5728046112089583,0.055875737724859424,0.9636807704788414,0.0917523921253067,1.0
2012-02-17,REL_HEAVY,0.5428457835881421,0.12855684796237793,0.9164380488244543,0.06941467041502677,1.0
2012-02-21,REL_HEAVY,0.5428457835881421,0.12855684796237793,0.9164380488244543,0.04491401803515846,1.0
2012-02-22,REL_HEAVY,0.5428457835881421,0.12855684796237793,0.9164380488244543,0.07709483725921519,1.0
2012-02-23,REL_HEAVY,0.5428457835881421,0.12855684796237793,0.9164380488244543,0.11018898870209688,1.0
2012-02-24,CASH_BIAS,0.46171865647831517,0.09125902414626878,0.18813632686098505,0.11491642619093202,1.0
2012-02-27,CASH_BIAS,0.46171865647831517,0.09125902414626878,0.18813632686098505,0.1282176532251551,1.0
2012-02-28,CASH_BIAS,0.46171865647831517,0.09125902414626878,0.18813632686098505,0.1397114924836507,1.0
2012-02-29,CASH_BIAS,0.46171865647831517,0.09125902414626878,0.18813632686098505,0.15225994248421582,1.0
2012-03-01,CASH_BIAS,0.46171865647831517,0.09125902414626878,0.18813632686098505,0.17775630606835363,1.0
2012-03-02,CASH_BIAS,0.6182435257887383,0.1462224679991179,0.1809910791601147,0.181584301388761,1.0
2012-03-05,CASH_BIAS,0.6182435257887383,0.1462224679991179,0.1809910791601147,0.2040491961377034,1.0
2012-03-06,CASH_BIAS,0.6182435257887383,0.1462224679991179,0.1809910791601147,0.26999473561645054,1.0
2012-03-07,CASH_BIAS,0.6182435257887383,0.1462224679991179,0.1809910791601147,0.23383030851229739,1.0
2012-03-08,CASH_BIAS,0.6182435257887383,0.1462224679991179,0.1809910791601147,0.25821400028652464,1.0
2012-03-09,CASH_BIAS,0.5107905683613028,0.2169427097744319,0.17179744772932387,0.2689217319458057,1.0
2012-03-12,CASH_BIAS,0.5107905683613028,0.2169427097744319,0.17179744772932387,0.26258601487121835,1.0
2012-03-13,CASH_BIAS,0.5107905683613028,0.2169427097744319,0.17179744772932387,0.2609068769542149,1.0
2012-03-14,CASH_BIAS,0.5107905683613028,0.2169427097744319,0.17179744772932387,0.31312911263550314,1.0
2012-03-15,CASH_BIAS,0.5107905683613028,0.2169427097744319,0.17179744772932387,0.30846825505093073,1.0
2012-03-16,BALANCED,0.6121761636959051,0.13139251529888266,0.9145948650557263,0.31860598043333255,1.0
2012-03-19,BALANCED,0.6121761636959051,0.13139251529888266,0.9145948650557263,0.2941207874297326,1.0
2012-03-20,BALANCED,0.6121761636959051,0.13139251529888266,0.9145948650557263,0.3025484440522245,1.0
2012-03-21,BALANCED,0.6121761636959051,0.13139251529888266,0.9145948650557263,0.3116802262693722,1.0
2012-03-22,BALANCED,0.6121761636959051,0.13139251529888266,0.9145948650557263,0.3186525102898966,1.0
2012-03-23,MOM_HEAVY,0.6945339344472041,0.04177920012591608,0.9728435199181545,0.2929569505528176,1.0
2012-03-26,MOM_HEAVY,0.6945339344472041,0.04177920012591608,0.9728435199181545,0.2953163702036834,1.0
2012-03-27,MOM_HEAVY,0.6945339344472041,0.04177920012591608,0.9728435199181545,0.365068232184379,1.0
2012-03-28,MOM_HEAVY,0.6945339344472041,0.04177920012591608,0.9728435199181545,0.3701215270663334,1.0
2012-03-29,MOM_HEAVY,0.6945339344472041,0.04177920012591608,0.9728435199181545,0.35118733756032566,1.0
2012-03-30,BALANCED,0.40227426414124523,0.27401091034750025,0.8218929082741249,0.31796369320338586,1.0
