Episode,Days,Total%,Bench_Total%,Excess%,WorstDay%,Sharpe,MaxDD%,Calmar,AvgExp%
GFC_2008,377,-6.7,-28.72,22.03,-5.02,-0.466,-11.41,-0.397,16.3
EURO_DEBT_2011,127,-8.92,-1.68,-7.24,-2.87,-1.627,-16.94,-0.999,23.9
Q4_2018,63,-11.41,-16.77,5.36,-3.34,-4.481,-13.0,-2.955,22.1
COVID_2020,94,-4.91,5.85,-10.76,-6.69,-0.696,-13.13,-0.961,15.3
RATES_2022,251,-16.39,-32.71,16.32,-4.5,-1.651,-17.9,-0.919,15.2
