Mode,CAGR%,Sharpe,MaxDD%,Calmar
IC_weights (0.33/0.33/0.33),20.9,1.052,-27.45,0.762
EQUAL_WEIGHTS (0.33/0.33/0.33),20.9,1.052,-27.45,0.762
