ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,11592423586.499329,11732351014.761742,1.0,True,2021-10-01,True,False,False
AMZN,True,eligible,9994520436.968994,11350406734.267462,1.0,True,2021-10-01,True,False,False
MSFT,True,eligible,6851344825.084126,6465559829.730273,1.0,True,2021-10-01,True,False,False
NVDA,True,eligible,5962720728.611184,6084840951.410141,1.0,True,2021-10-01,True,False,False
META,True,eligible,5218296173.542684,5013578141.052828,1.0,True,2021-10-01,True,False,False
AMD,True,eligible,4773482612.844874,6552203725.415041,1.0,True,2021-10-01,True,False,False
GOOGL,True,eligible,3802756713.4521484,3556268269.712176,1.0,True,2021-10-01,True,False,False
NFLX,True,eligible,2084900069.2871094,1885462599.1928463,1.0,True,2021-10-01,True,False,False
CRM,True,eligible,1791304081.2182617,1569003183.5020034,1.0,False,2021-10-01,False,False,False
PLTR,True,eligible,1435985945.5258243,1118055754.9402843,1.0,True,2021-10-01,True,False,False
ADBE,True,eligible,1401748147.446289,1140723462.2776577,1.0,False,2021-10-01,False,False,False
MU,True,eligible,1283655091.2704723,1404122811.3944523,1.0,False,2021-10-01,False,False,False
SHOP,True,eligible,1152712339.0045166,1562613450.0889854,1.0,True,2021-10-01,True,False,False
INTC,True,eligible,976260092.0190811,1033394273.8979037,1.0,False,2021-10-01,False,False,False
AMAT,True,eligible,940956655.5952963,913863791.0875714,1.0,False,2021-10-01,False,False,False
TSM,True,eligible,863050857.2007242,862470155.738552,1.0,False,2021-10-01,False,False,False
QCOM,True,eligible,856120588.8810984,896601321.7272198,1.0,False,2021-10-01,False,False,False
AVGO,True,eligible,754613813.4332021,658150560.838548,1.0,False,2021-10-01,False,False,False
LRCX,True,eligible,733778741.1738077,746160678.1229292,1.0,False,2021-10-01,False,False,False
ASML,True,eligible,697865616.3582357,579430645.8264548,1.0,False,2021-10-01,False,False,False
NOW,True,eligible,658945840.3896332,606192452.3180401,1.0,False,2021-10-01,False,False,False
ARM,False,not_live_yet<2023-09-14>,0.0,0.0,,False,2021-10-01,False,False,False
SMCI,False,addv_fail,0.0,6901155.626387823,,False,2021-10-01,False,False,False
