fold,model,auc_val,brier_val,auc_test,brier_test,train_samples,val_samples,test_samples
1,logit,0.5874747474747475,0.24736828887113693,0.5718136311128225,0.2527093673795969,404,100,102
2,gb,0.5860339506172839,0.2492767102838052,0.602167804094741,0.24325356315999813,503,102,100
3,logit,0.5630252100840336,0.26619362848534106,0.49157979149959896,0.2542677856715532,605,100,101
4,gb,0.5689792663476874,0.2529315576433795,0.5240143369175627,0.24351455516921688,707,101,76
5,gb,0.6064425770308123,0.24378289861539582,0.40942028985507245,0.2747072285167558,806,76,82
