Scenario,Stress_Type,CAGR%,Sharpe,MaxDD%,Calmar,TurnAnn,FinalEq
BASE,baseline,15.16,0.866,-30.87,0.491,7.67,1965791.0
COST_SENSITIVITY_×2,cost_sensitivity,14.02,0.812,-31.87,0.44,7.67,1593182.0
COST_SENSITIVITY_×3,cost_sensitivity,12.89,0.757,-32.84,0.393,7.67,1291087.0
SLIPPAGE_SENSITIVITY,slippage_sensitivity,15.03,0.86,-30.99,0.485,7.67,1918704.0
PANIC_EXECUTION_HEAVY,panic_execution,14.77,0.847,-31.22,0.473,7.67,1827879.0
