Mode,CAGR%,Sharpe,MaxDD%,Calmar
IC_weights (0.33/0.33/0.33),15.16,0.866,-30.87,0.491
EQUAL_WEIGHTS (0.33/0.33/0.33),15.16,0.866,-30.87,0.491
