Regime,VIX_source,Days,Days%,CAGR%,CAGR_bench%,Excess_CAGR%,Sharpe,MaxDD%,Hit_Rate%
CALM (<13),real,458,20.0,93.57,86.96,6.61,3.937,-8.95,60.3
NORMAL (13–23),real,1378,60.0,19.04,31.31,-12.27,0.962,-30.62,43.1
STRESS (≥23),real,459,20.0,-16.65,-40.82,24.17,-1.109,-33.5,28.3
