Episode,Days,Total%,Bench_Total%,Excess%,WorstDay%,Sharpe,MaxDD%,Calmar,AvgExp%
GFC_2008,377,-1.02,-28.72,27.7,-4.33,-0.014,-9.98,-0.069,19.9
EURO_DEBT_2011,127,-8.18,-1.68,-6.49,-2.93,-1.391,-15.75,-0.988,23.8
Q4_2018,63,-10.73,-16.77,6.05,-2.33,-4.016,-11.88,-3.07,32.0
COVID_2020,94,-4.5,5.85,-10.35,-5.97,-0.792,-11.2,-1.036,15.3
RATES_2022,251,-12.62,-32.71,20.1,-3.88,-1.516,-13.49,-0.939,14.0
