Label,FinalEquity,TotalReturn,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,CVaR_5,AvgExposure,TimeInMkt,TurnoverAnn,Days
MAHORAGA_1.3,6887387.585335,67.873876,0.222169,0.189196,1.154916,1.945437,-0.210789,1.053987,-0.027651,0.543184,0.768623,7.637017,5316
QQQ,1717000.097719,16.170001,0.144282,0.216062,0.732056,1.170009,-0.535029,0.269671,-0.032421,1.0,1.0,0.0,5316
EQW_Tech,19076626.173509,189.766262,0.282641,0.255683,1.102018,1.797139,-0.527585,0.535725,-0.037729,0.999812,0.999812,0.023702,5316
MOM_12_1_TopK,40088036.157397,399.880362,0.328598,0.331021,1.024312,1.727488,-0.510966,0.643091,-0.046972,0.999059,0.999059,5.032731,5316
