combo_params,fold,score_val,VAL_Sharpe,VAL_CAGR%,VAL_MaxDD%,VAL_Calmar,VAL_SR_tstat,p_value,q_value,significant_5pct,significant_10pct,SR_above_HLZ_tmin,stat_label,weight_cap,k_atr,turb_zscore_thr,turb_scale_min,vol_target_ann
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.5, 'turb_scale_min': 0.25, 'vol_target_ann': 0.35}",1,2.466752812465105,2.2421,55.087,-8.558,6.4367,3.155,0.001604,0.046514,True,True,False,sig@5%_FDR_support,0.55,3.0,1.5,0.25,0.35
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.5, 'turb_scale_min': 0.25, 'vol_target_ann': 0.35}",1,2.46527109293888,2.2412,55.056,-8.558,6.4331,3.154,0.001612,0.046514,True,True,False,sig@5%_FDR_support,0.65,3.0,1.5,0.25,0.35
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.35}",1,2.385093492878908,2.2397,52.148,-8.518,6.1217,3.152,0.001623,0.046514,True,True,False,sig@5%_FDR_support,0.55,3.0,1.0,0.25,0.35
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.35}",1,2.383813839580137,2.2388,52.121,-8.518,6.1187,3.151,0.00163,0.046514,True,True,False,sig@5%_FDR_support,0.65,3.0,1.0,0.25,0.35
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.4, 'vol_target_ann': 0.35}",1,2.365210101105616,2.2338,52.893,-8.8,6.0108,3.144,0.001669,0.046514,True,True,False,sig@5%_FDR_support,0.55,3.0,1.0,0.4,0.35
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.4, 'vol_target_ann': 0.35}",1,2.363177776735416,2.2324,52.851,-8.8,6.006,3.142,0.00168,0.046514,True,True,False,sig@5%_FDR_support,0.65,3.0,1.0,0.4,0.35
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.5, 'turb_scale_min': 0.4, 'vol_target_ann': 0.35}",1,2.347030686841544,2.2138,54.917,-9.449,5.8119,3.116,0.001835,0.046514,True,True,False,sig@5%_FDR_support,0.55,3.0,1.5,0.4,0.35
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.5, 'turb_scale_min': 0.25, 'vol_target_ann': 0.3}",1,2.3459929329865132,2.186,51.584,-8.558,6.0274,3.077,0.002092,0.046514,True,True,False,sig@5%_FDR_support,0.55,3.0,1.5,0.25,0.3
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.5, 'turb_scale_min': 0.4, 'vol_target_ann': 0.35}",1,2.3450703574633893,2.2125,54.875,-9.449,5.8074,3.114,0.001847,0.046514,True,True,False,sig@5%_FDR_support,0.65,3.0,1.5,0.4,0.35
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.5, 'turb_scale_min': 0.25, 'vol_target_ann': 0.3}",1,2.344507281374771,2.1849,51.554,-8.558,6.0239,3.075,0.002102,0.046514,True,True,False,sig@5%_FDR_support,0.65,3.0,1.5,0.25,0.3
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.3}",1,2.27601736492818,2.1874,48.969,-8.518,5.7485,3.079,0.002078,0.046514,True,True,False,sig@5%_FDR_support,0.55,3.0,1.0,0.25,0.3
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.25, 'vol_target_ann': 0.3}",1,2.2747315930589624,2.1865,48.943,-8.518,5.7455,3.078,0.002087,0.046514,True,True,False,sig@5%_FDR_support,0.65,3.0,1.0,0.25,0.3
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.4, 'vol_target_ann': 0.3}",1,2.256179263237291,2.1811,49.699,-8.8,5.6478,3.07,0.00214,0.046514,True,True,False,sig@5%_FDR_support,0.55,3.0,1.0,0.4,0.3
"{'weight_cap': 0.65, 'k_atr': 3.0, 'turb_zscore_thr': 1.0, 'turb_scale_min': 0.4, 'vol_target_ann': 0.3}",1,2.2541377979740638,2.1797,49.658,-8.8,5.6431,3.068,0.002154,0.046514,True,True,False,sig@5%_FDR_support,0.65,3.0,1.0,0.4,0.3
"{'weight_cap': 0.55, 'k_atr': 3.0, 'turb_zscore_thr': 1.5, 'turb_scale_min': 0.4, 'vol_target_ann': 0.3}",1,2.230582813390454,2.1568,51.419,-9.449,5.4416,3.036,0.002396,0.046514,True,True,False,sig@5%_FDR_support,0.55,3.0,1.5,0.4,0.3
