fold,train,val,test,is_partial,actual_test_days,best_weight_cap,best_k_atr,best_turb_zscore_thr,best_turb_scale_min,best_vol_target_ann,val_score,val_sharpe,val_p_value,val_q_value,val_sig_5pct,val_stat_label,test_CAGR%,test_Sharpe,test_MaxDD%,test_Calmar,test_alpha_ann%,test_t_alpha,AvgExposure
1,2006-01-01→2013-12-31,2015-01-01→2016-12-31,2017-01-03→2018-01-03,False,253,0.55,3.0,1.5,0.25,0.35,2.4668,2.2421,0.001604,0.046514,True,sig@5%_FDR_support,13.83,0.8334,-12.52,1.1039,-16.68,-1.178,66.3
2,2006-01-01→2015-12-31,2017-01-01→2018-12-31,2018-01-04→2019-01-04,False,252,0.65,2.0,1.0,0.4,0.25,0.1977,1.055,0.136894,1.0,False,econ_strong_stat_weak,17.61,1.42,-9.69,1.8167,18.19,1.402,35.0
3,2006-01-01→2017-12-31,2019-01-01→2020-12-31,2019-01-07→2020-01-07,False,253,0.65,2.5,1.5,0.4,0.25,0.0442,1.5348,0.030188,0.404515,False,econ_strong_stat_weak,23.67,1.5225,-10.14,2.3336,-0.98,-0.092,70.3
4,2006-01-01→2019-12-31,2021-01-01→2022-12-31,2020-01-08→2021-01-08,False,254,0.65,2.5,1.5,0.25,0.25,1.2525,1.1532,0.103706,0.97251,False,econ_strong_stat_weak,43.66,1.7536,-14.0,3.1198,31.42,1.499,52.8
5,2006-01-01→2021-12-31,2023-01-01→2024-06-30,2021-01-11→2026-02-19,False,1283,0.65,3.0,1.5,0.25,0.35,0.4318,2.2764,0.005796,0.087203,False,sig@10%_FDR_support,27.08,1.1822,-21.08,1.2846,20.74,2.272,58.5
