Label,alpha_ann,t_alpha,p_alpha,beta_mkt,beta_smb,beta_hml,beta_rmw,beta_cma,beta_umd,R2_adj
MAHORAGA_1.3,0.174502,4.425,1e-05,0.3786,0.0876,-0.0911,-0.0918,-0.3044,0.2558,0.2111
OOS_continuous,0.176679,2.844,0.004459,0.3666,0.0438,-0.1168,0.0368,-0.3915,0.269,0.244
