Label,alpha_ann,t_alpha,p_alpha,beta,R2,NW_lags,sig_5pct,sig_1pct
MAHORAGA_1.0,0.156019,3.042,0.00235,0.3884,0.1366,9,True,True
MAHORAGA_1.0_TEST,0.192489,1.917,0.05522,0.422,0.1732,7,False,False
