weight_cap,k_atr,turb_zscore_thr,turb_scale_min,vol_target_ann,score_val,VAL_CAGR%,VAL_Sharpe,VAL_Sharpe_CI,VAL_SR_tstat,VAL_SR_pval,VAL_MaxDD%,VAL_TurnoverAnn,SR_sig_BHY,SR_tstat_above_HLZ_tmin
0.65,3.0,1.5,0.4,0.35,0.5950496246239001,29.472,1.1637,"[0.181, 2.146]",2.322,0.02023,-21.628,11.344,False,False
0.55,3.0,1.5,0.4,0.35,0.5914838925239482,29.395,1.1603,"[0.178, 2.143]",2.315,0.02061,-21.628,11.317,False,False
0.65,3.0,1.5,0.4,0.3,0.5913960386116985,29.004,1.1559,"[0.174, 2.138]",2.306,0.02109,-20.662,11.256,False,False
0.65,3.0,1.0,0.25,0.35,0.5888961739746209,28.052,1.1584,"[0.176, 2.141]",2.311,0.02081,-20.247,10.452,False,False
0.55,3.0,1.5,0.4,0.3,0.5877840501437814,28.927,1.1524,"[0.170, 2.135]",2.3,0.02148,-20.662,11.229,False,False
0.55,3.0,1.0,0.25,0.35,0.5859697313509847,28.001,1.1556,"[0.173, 2.138]",2.306,0.02112,-20.247,10.427,False,False
0.65,3.0,1.5,0.4,0.25,0.584898428141046,27.572,1.1733,"[0.191, 2.156]",2.341,0.01923,-18.174,10.999,False,False
0.65,3.0,1.0,0.25,0.3,0.5835616064317988,27.55,1.1489,"[0.167, 2.131]",2.292,0.02188,-19.371,10.366,False,False
0.55,3.0,1.0,0.25,0.3,0.5805945112916204,27.5,1.146,"[0.164, 2.128]",2.287,0.02221,-19.371,10.341,False,False
0.55,3.0,1.5,0.4,0.25,0.5796129862385744,27.436,1.1682,"[0.186, 2.151]",2.331,0.01975,-18.174,10.961,False,False
0.65,3.0,1.0,0.25,0.25,0.5795725838742085,26.142,1.1666,"[0.184, 2.149]",2.328,0.01992,-16.821,10.13,False,False
0.55,3.0,1.0,0.25,0.25,0.5758639879184378,26.058,1.1629,"[0.181, 2.145]",2.32,0.02032,-16.821,10.099,False,False
0.65,2.0,1.0,0.25,0.25,0.35477483243826363,19.545,1.1085,"[0.126, 2.091]",2.212,0.02696,-15.637,12.629,False,False
0.65,2.0,1.0,0.4,0.25,0.35410065697499565,19.97,1.1113,"[0.129, 2.093]",2.218,0.02658,-15.637,13.101,False,False
0.55,2.0,1.0,0.25,0.25,0.35391753714622537,19.521,1.1072,"[0.125, 2.089]",2.21,0.02714,-15.637,12.612,False,False
0.55,2.0,1.0,0.4,0.25,0.35321837986713006,19.945,1.11,"[0.128, 2.092]",2.215,0.02676,-15.637,13.083,False,False
0.65,2.0,1.0,0.25,0.3,0.34281404532171666,20.424,1.1002,"[0.118, 2.082]",2.196,0.02812,-17.953,12.978,False,False
0.65,2.0,1.0,0.4,0.3,0.3423789033768272,20.853,1.104,"[0.122, 2.086]",2.203,0.02759,-17.953,13.45,False,False
0.55,2.0,1.0,0.25,0.3,0.34211631767435613,20.403,1.0991,"[0.117, 2.081]",2.193,0.02828,-17.953,12.962,False,False
0.55,2.0,1.0,0.4,0.3,0.34165533405216064,20.831,1.1028,"[0.121, 2.085]",2.201,0.02775,-17.953,13.433,False,False
0.65,2.0,1.5,0.25,0.25,0.3355615061966734,20.157,1.0901,"[0.108, 2.072]",2.176,0.02959,-15.637,13.575,False,False
0.55,2.0,1.5,0.25,0.25,0.3345273251490428,20.126,1.0886,"[0.106, 2.071]",2.173,0.02982,-15.637,13.556,False,False
0.65,2.0,1.5,0.25,0.3,0.33063202860113394,21.222,1.0911,"[0.109, 2.073]",2.177,0.02945,-17.964,13.936,False,False
0.55,2.0,1.5,0.25,0.3,0.32976570695531954,21.195,1.0898,"[0.108, 2.072]",2.175,0.02964,-17.964,13.918,False,False
0.65,2.0,1.0,0.25,0.35,0.3192670105900346,20.161,1.0715,"[0.089, 2.054]",2.138,0.03248,-18.372,13.063,False,False
0.65,2.0,1.0,0.4,0.35,0.31916637219512495,20.589,1.076,"[0.094, 2.058]",2.147,0.03176,-18.372,13.535,False,False
0.55,2.0,1.0,0.25,0.35,0.3185967837811376,20.14,1.0704,"[0.088, 2.053]",2.136,0.03265,-18.372,13.046,False,False
0.55,2.0,1.0,0.4,0.35,0.31846997499044316,20.566,1.0749,"[0.093, 2.057]",2.145,0.03194,-18.372,13.517,False,False
0.65,2.0,1.5,0.4,0.25,0.31189717852583465,19.879,1.0657,"[0.084, 2.048]",2.127,0.03343,-15.637,13.892,False,False
0.55,2.0,1.5,0.4,0.25,0.31089764849467405,19.849,1.0642,"[0.082, 2.046]",2.124,0.03368,-15.637,13.872,False,False
0.65,2.0,1.5,0.25,0.35,0.3101970540257972,21.033,1.0667,"[0.085, 2.049]",2.129,0.03327,-18.442,14.026,False,False
0.55,2.0,1.5,0.25,0.35,0.3093587962619797,21.006,1.0654,"[0.083, 2.047]",2.126,0.03348,-18.442,14.008,False,False
0.65,2.0,1.5,0.4,0.3,0.30812004782859614,20.943,1.0685,"[0.086, 2.051]",2.132,0.03297,-17.964,14.253,False,False
0.55,2.0,1.5,0.4,0.3,0.30728491550784826,20.915,1.0672,"[0.085, 2.049]",2.13,0.03318,-17.964,14.234,False,False
0.65,2.0,1.5,0.4,0.35,0.28825000124942535,20.754,1.045,"[0.063, 2.027]",2.086,0.03701,-18.442,14.343,False,False
0.55,2.0,1.5,0.4,0.35,0.2874416444529192,20.726,1.0437,"[0.062, 2.026]",2.083,0.03724,-18.442,14.324,False,False
