feature,importance,model,fold
corr_scale_weekly,1.5924032546065177e-18,fragility,3
intensity_spread,0.1967346025558506,recovery,3
base_total_scale,0.16086973811474262,recovery,3
rel_minus_mom,0.09573146844405277,recovery,3
stress_intensity,0.08651536936143758,recovery,3
mom_mean,0.06080791128309773,recovery,3
recovery_intensity,0.060268172574183466,recovery,3
turb_scale_weekly,0.05177244214156027,recovery,3
qqq_vol_21,0.039053009384398964,recovery,3
base_exposure,0.03693335090874582,recovery,3
qqq_drawdown,0.03687882780110739,recovery,3
rel_minus_trend,0.03187295704530597,recovery,3
trend_mean,0.031204134376260417,recovery,3
avg_corr_63,0.018030152647351607,recovery,3
vix_level,0.017494496456584085,recovery,3
rel_top_mean,0.01056026941922241,recovery,3
avg_corr_21,0.009294821333580602,recovery,3
qqq_ret_21d,0.008442991216871308,recovery,3
breadth_63d,0.008328086762411667,recovery,3
vix_z_63,0.007859047814350928,recovery,3
qqq_ret_5d,0.006616179523975151,recovery,3
xs_disp_21d,0.00600605427209561,recovery,3
rel_mean,0.005921838429767012,recovery,3
xs_disp_5d,0.005457200991562716,recovery,3
base_turnover,0.004798308428908514,recovery,3
crisis_scale_weekly,0.0017405391715038128,recovery,3
crisis_state_weekly,0.0006968112649472099,recovery,3
corr_scale_weekly,0.00011121827612359577,recovery,3
corr_state_weekly,0.0,recovery,3
base_turnover,0.0867194955267403,fragility,4
intensity_spread,0.0823697408890486,fragility,4
turb_scale_weekly,0.08189787923643427,fragility,4
rel_minus_mom,0.07920956426380357,fragility,4
base_total_scale,0.07811706828478833,fragility,4
base_exposure,0.055445567443990304,fragility,4
stress_intensity,0.050491969999125155,fragility,4
qqq_vol_21,0.04648838030324231,fragility,4
mom_mean,0.04425642793160501,fragility,4
avg_corr_63,0.04298985501434685,fragility,4
avg_corr_21,0.038611892068799065,fragility,4
rel_mean,0.03338561250589929,fragility,4
vix_level,0.0333310733098964,fragility,4
rel_minus_trend,0.030987159652649653,fragility,4
recovery_intensity,0.02614085070558963,fragility,4
rel_top_mean,0.026126571633462124,fragility,4
qqq_drawdown,0.02541262147593139,fragility,4
trend_mean,0.020730973106056587,fragility,4
xs_disp_5d,0.017850048698489274,fragility,4
qqq_ret_5d,0.01683969485052938,fragility,4
xs_disp_21d,0.015426574241619478,fragility,4
breadth_63d,0.015195071825272702,fragility,4
crisis_state_weekly,0.013980666718392395,fragility,4
crisis_scale_weekly,0.013644600436104501,fragility,4
qqq_ret_21d,0.013142125103400267,fragility,4
vix_z_63,0.010965356920813416,fragility,4
corr_scale_weekly,0.00024315785396981766,fragility,4
corr_state_weekly,0.0,fragility,4
base_total_scale,0.18526540349626713,recovery,4
intensity_spread,0.16660216903630523,recovery,4
stress_intensity,0.08672465752465612,recovery,4
rel_minus_mom,0.08321050382817355,recovery,4
base_exposure,0.06810738045785292,recovery,4
qqq_vol_21,0.0601900018767761,recovery,4
qqq_drawdown,0.0511415290781806,recovery,4
mom_mean,0.04689718448301317,recovery,4
turb_scale_weekly,0.03805812011730612,recovery,4
trend_mean,0.03610177840593848,recovery,4
rel_minus_trend,0.031493754982263956,recovery,4
vix_level,0.026825121665308285,recovery,4
