ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
NVDA,True,eligible,12443382408.365503,10829623965.618664,1.0,True,2023-04-01,True,False,False
AAPL,True,eligible,9540897485.138855,9982179059.595299,1.0,True,2023-04-01,True,False,False
MSFT,True,eligible,8002214351.769816,8121481385.427057,1.0,True,2023-04-01,True,False,False
AMD,True,eligible,5965742966.497879,5153004212.117465,1.0,True,2023-04-01,True,False,False
AMZN,True,eligible,5526188241.610515,6618687503.854938,1.0,True,2023-04-01,True,False,False
META,True,eligible,5493493205.614319,5513658696.69038,1.0,True,2023-04-01,True,False,False
GOOGL,True,eligible,3505202606.115036,3815885757.4854655,1.0,True,2023-04-01,True,False,False
NFLX,True,eligible,2145959042.0565288,2601504784.531124,1.0,True,2023-04-01,True,False,False
CRM,True,eligible,1611708342.0115154,1515042109.3521118,1.0,True,2023-04-01,True,False,False
AVGO,True,eligible,1472650627.6325226,1319224448.604281,1.0,False,2023-04-01,False,False,False
INTC,True,eligible,1423298642.1173413,1287839219.8355722,1.0,False,2023-04-01,False,False,False
ADBE,True,eligible,1267581466.814677,1071577543.8717797,1.0,True,2023-04-01,True,False,False
MU,True,eligible,968872591.7838033,887657450.1165481,1.0,False,2023-04-01,False,False,False
TSM,True,eligible,902038311.5781912,1120729974.939001,1.0,False,2023-04-01,False,False,False
QCOM,True,eligible,829538467.9253641,898307887.2629439,1.0,False,2023-04-01,False,False,False
AMAT,True,eligible,818835544.0420278,732757218.581669,1.0,False,2023-04-01,False,False,False
SHOP,True,eligible,719663770.374616,871050365.0557443,1.0,False,2023-04-01,False,False,False
ASML,True,eligible,608764460.094808,633173258.7450784,1.0,False,2023-04-01,False,False,False
LRCX,True,eligible,603749126.2093862,614965289.4851443,1.0,False,2023-04-01,False,False,False
NOW,True,eligible,586887589.440155,708196865.5061873,1.0,False,2023-04-01,False,False,False
PLTR,True,eligible,276285066.2736384,332038550.103619,1.0,False,2023-04-01,False,False,False
SMCI,True,eligible,150871196.89804712,137755933.45178875,1.0,False,2023-04-01,False,False,False
ARM,False,seasoning_fail,0.0,0.0,,False,2023-04-01,False,False,False
