ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,10586245730.499777,11754885485.870966,1.0,True,2023-01-01,True,False,False
NVDA,True,eligible,6907041614.24621,7355029633.923228,1.0,True,2023-01-01,True,False,False
AMZN,True,eligible,6555873977.865092,7814394153.80123,1.0,True,2023-01-01,True,False,False
MSFT,True,eligible,6455688011.059672,6946738504.12462,1.0,True,2023-01-01,True,False,False
AMD,True,eligible,4009565905.8234916,4965169321.265758,1.0,True,2023-01-01,True,False,False
META,True,eligible,3467430741.611735,5021287250.659191,1.0,True,2023-01-01,True,False,False
NFLX,True,eligible,2611436136.960157,3148314711.721692,1.0,True,2023-01-01,True,False,False
GOOGL,True,eligible,2548791569.6993766,2979793170.7968574,1.0,True,2023-01-01,True,False,False
CRM,True,eligible,1467774829.9124908,1251744690.9408448,1.0,True,2023-01-01,True,False,False
AVGO,True,eligible,1229460155.117925,1120603064.0452552,1.0,False,2023-01-01,False,False,False
TSM,True,eligible,1022758914.0160879,1054105763.1814381,1.0,False,2023-01-01,False,False,False
ADBE,True,eligible,1008087962.3350016,1100720051.9348145,1.0,True,2023-01-01,True,False,False
INTC,True,eligible,937476537.2803879,1067578149.2125012,1.0,False,2023-01-01,False,False,False
MU,True,eligible,816887359.5905176,937390207.1010468,1.0,False,2023-01-01,False,False,False
QCOM,True,eligible,814099354.5910898,891655351.9703214,1.0,False,2023-01-01,False,False,False
SHOP,True,eligible,753079301.4152527,854577619.8695167,1.0,False,2023-01-01,False,False,False
AMAT,True,eligible,662627522.7869415,749327137.0099628,1.0,False,2023-01-01,False,False,False
ASML,True,eligible,554911848.3805338,680131869.0174406,1.0,False,2023-01-01,False,False,False
LRCX,True,eligible,535770713.0477905,777611492.0704857,1.0,False,2023-01-01,False,False,False
NOW,True,eligible,488614654.59187824,656802289.5037333,1.0,False,2023-01-01,False,False,False
PLTR,True,eligible,199768179.1571951,253413024.79404342,1.0,False,2023-01-01,False,False,False
SMCI,True,eligible,106659640.83145459,80417783.88383654,1.0,False,2023-01-01,False,False,False
ARM,False,seasoning_fail,0.0,0.0,,False,2023-01-01,False,False,False
