ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,4752739601.902937,5579090605.453788,1.0,True,2013-07-01,True,False,False
GOOGL,True,eligible,2038892060.475769,2002982470.6004956,1.0,True,2013-07-01,True,False,False
MSFT,True,eligible,1339356788.7766712,1453827739.4077454,1.0,True,2013-07-01,True,False,False
META,True,eligible,986023623.4505653,1000358202.2147194,1.0,True,2013-07-01,True,False,False
AMZN,True,eligible,752201429.3732325,811080349.7287811,1.0,True,2013-07-01,True,False,False
INTC,True,eligible,728988608.2550939,770415730.4160452,1.0,True,2013-07-01,True,False,False
NFLX,True,eligible,669923852.1241347,826069689.4521978,1.0,True,2013-07-01,True,False,False
QCOM,True,eligible,620710143.9084879,620261969.4379777,1.0,True,2013-07-01,True,False,False
MU,True,eligible,518297397.3370488,392748813.60527825,1.0,True,2013-07-01,True,False,False
CRM,True,eligible,353754203.0751419,285444899.3301028,1.0,True,2013-07-01,True,False,False
AMAT,True,eligible,193317428.12019983,173429120.784042,1.0,False,2013-07-01,False,False,False
ADBE,True,eligible,166913675.40072122,166744960.10103983,1.0,False,2013-07-01,False,False,False
NVDA,True,eligible,142404679.80083624,134895569.04877934,1.0,False,2013-07-01,False,False,False
ASML,True,eligible,141506256.60168967,121607437.9992046,1.0,False,2013-07-01,False,False,False
TSM,True,eligible,131160625.4187425,142410377.49417773,1.0,False,2013-07-01,False,False,False
AMD,True,eligible,89312527.35126336,101658262.38660471,1.0,False,2013-07-01,False,False,False
AVGO,True,eligible,78908201.36180718,71012898.12737797,1.0,False,2013-07-01,False,False,False
LRCX,True,eligible,73490499.7904857,81253260.91410244,1.0,False,2013-07-01,False,False,False
NOW,True,eligible,60319015.196704865,60778714.04589547,1.0,False,2013-07-01,False,False,False
ARM,False,seasoning_fail,0.0,0.0,,False,2013-07-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2013-07-01,False,False,False
SHOP,False,seasoning_fail,0.0,0.0,,False,2013-07-01,False,False,False
SMCI,False,addv_fail,0.0,1717888.1843695564,,False,2013-07-01,False,False,False
