ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,3101805696.254959,4120795575.0015864,1.0,True,2016-04-01,True,False,False
META,True,eligible,2774462999.9257407,3692997886.2861996,1.0,True,2016-04-01,True,False,False
AMZN,True,eligible,2479472643.921407,3201815958.2307606,1.0,True,2016-04-01,True,False,False
GOOGL,True,eligible,1418886576.5403748,1920277469.4228399,1.0,True,2016-04-01,True,False,False
NFLX,True,eligible,1411013082.2458584,1903619149.2627158,1.0,True,2016-04-01,True,False,False
MSFT,True,eligible,1366339976.3188553,1772799334.5493376,1.0,True,2016-04-01,True,False,False
INTC,True,eligible,547418630.3884888,636710067.5984943,1.0,True,2016-04-01,True,False,False
QCOM,True,eligible,459772986.2604777,479490016.2781609,1.0,True,2016-04-01,True,False,False
AVGO,True,eligible,396609640.0283496,505053133.9367155,1.0,False,2016-04-01,False,False,False
CRM,True,eligible,356290683.86866254,400731033.7464772,1.0,True,2016-04-01,True,False,False
ADBE,True,eligible,355519065.28584796,351356187.1065049,1.0,False,2016-04-01,False,False,False
NVDA,True,eligible,259316471.69106802,283897256.11566746,1.0,False,2016-04-01,False,False,False
MU,True,eligible,244799366.6337045,291424793.1149982,1.0,True,2016-04-01,True,False,False
AMAT,True,eligible,219875506.63284302,233794953.6816476,1.0,False,2016-04-01,False,False,False
LRCX,True,eligible,163610688.45675787,178216115.37903073,1.0,False,2016-04-01,False,False,False
TSM,True,eligible,130207557.02423732,148858749.39468625,1.0,False,2016-04-01,False,False,False
NOW,True,eligible,124826435.93262036,170491587.99219888,1.0,False,2016-04-01,False,False,False
ASML,True,eligible,51523858.43973795,74824748.29881456,1.0,False,2016-04-01,False,False,False
AMD,False,addv_fail,0.0,33338804.304185934,,False,2016-04-01,False,False,False
ARM,False,seasoning_fail,0.0,0.0,,False,2016-04-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2016-04-01,False,False,False
SHOP,False,addv_fail,0.0,16472736.361611458,,False,2016-04-01,False,False,False
SMCI,False,addv_fail,0.0,18127375.805552043,,False,2016-04-01,False,False,False
