ticker,eligible,reason,liq_size_proxy,addv_proxy,vol_coverage,in_universe,recon_date,prior_member,entered,exited
AAPL,True,eligible,5559727219.087474,5396643552.878171,1.0,True,2019-10-01,True,False,False
AMZN,True,eligible,5404467126.900737,6198902904.675438,1.0,True,2019-10-01,True,False,False
MSFT,True,eligible,2998461922.7978263,3132931503.7369742,1.0,True,2019-10-01,True,False,False
META,True,eligible,2327727541.887207,2714655627.220517,1.0,True,2019-10-01,True,False,False
NFLX,True,eligible,2176300867.3666,2479984675.9234233,1.0,True,2019-10-01,True,False,False
AMD,True,eligible,1532249754.9614906,1870527966.2525725,1.0,True,2019-10-01,True,False,False
GOOGL,True,eligible,1457692837.594859,1680504334.7417438,1.0,True,2019-10-01,True,False,False
NVDA,True,eligible,1438810530.550639,1552924827.0806963,1.0,True,2019-10-01,True,False,False
MU,True,eligible,1031453665.9359741,1123508198.966447,1.0,True,2019-10-01,True,False,False
SHOP,True,eligible,1002409786.4133835,806221436.6277968,1.0,False,2019-10-01,False,False,False
CRM,True,eligible,910481389.6939087,946531889.7571139,1.0,False,2019-10-01,False,False,False
INTC,True,eligible,849682793.8276291,904623730.8627537,1.0,True,2019-10-01,True,False,False
ADBE,True,eligible,818582754.1867065,723382399.7802734,1.0,False,2019-10-01,False,False,False
AVGO,True,eligible,553266468.2597479,548848060.8226837,1.0,False,2019-10-01,False,False,False
QCOM,True,eligible,483820660.28404236,600514843.5088203,1.0,False,2019-10-01,False,False,False
NOW,True,eligible,424678457.2769801,451547689.08521867,1.0,False,2019-10-01,False,False,False
LRCX,True,eligible,346911070.00484467,339396685.3836907,1.0,False,2019-10-01,False,False,False
AMAT,True,eligible,328629534.2519633,364667445.2399057,1.0,False,2019-10-01,False,False,False
TSM,True,eligible,241658420.26073456,243662821.15657747,1.0,False,2019-10-01,False,False,False
ASML,True,eligible,123735983.2649231,128477648.56889513,1.0,False,2019-10-01,False,False,False
ARM,False,not_live_yet<2023-09-14>,0.0,0.0,,False,2019-10-01,False,False,False
PLTR,False,seasoning_fail,0.0,0.0,,False,2019-10-01,False,False,False
SMCI,False,addv_fail,0.0,1566984.8202637264,,False,2019-10-01,False,False,False
