Method,MeanSharpe,MeanCAGR%,MeanMaxDD%,MeanInterventionRate,MeanFragilityRate,MeanRecoveryRate,MeanRecoveryHitRate
BASELINE_6_1_FROZEN,0.9694,22.096,-16.516,0.0,0.0,,
H7C3,1.03132,23.184,-16.008,0.33626000000000006,0.07102,0.26524000000000003,0.88696
