Date,IC_trend,IC_mom,IC_rel,IC_composite
2006-06-09,-0.042712751023038474,0.0,0.0,0.0
2006-06-12,-0.04143753553294132,0.0,0.0,0.0
2006-06-13,-0.04962775555163463,0.0,0.0,0.0
2006-06-14,-0.046243617196783667,0.0,0.0,0.0
2006-06-15,-0.051769891989028045,0.0,0.0,0.0
2006-06-16,-0.046129661397609774,0.0,0.0,0.0
2006-06-19,-0.06395048769180044,0.0,0.0,0.0
2006-06-20,-0.06234100739539157,0.0,0.0,0.0
2006-06-21,-0.06638201784608583,0.0,0.0,0.0
2006-06-22,-0.0748603812750383,0.0,0.0,0.0
2006-06-23,-0.07768630364578673,0.0,0.0,0.0
2006-06-26,-0.08191784493741251,0.0,0.0,0.0
2006-06-27,-0.07566609198880019,0.0,0.0,0.0
2006-06-28,-0.07280241724563662,0.0,0.0,0.0
2006-06-29,-0.0744984218163267,0.0,0.0,0.0
2006-06-30,-0.07386423350447445,0.0,0.0,0.0
2006-07-03,-0.07450063693145653,0.0,0.0,0.0
2006-07-05,-0.07962524559338242,0.0,0.0,0.0
2006-07-06,-0.0659462076518215,0.0,0.0,0.0
2006-07-07,-0.07625903718272037,0.0,0.0,0.0
2006-07-10,-0.07770745620842845,0.0,0.0,0.0
2006-07-11,-0.08831358177162464,0.0,0.0,0.0
2006-07-12,-0.09135806620933659,0.0,0.0,0.0
2006-07-13,-0.09113420564217989,0.0,0.0,0.0
2006-07-14,-0.08819397569924663,0.0,0.0,0.0
2006-07-17,-0.08923972719545012,0.0,0.0,0.0
2006-07-18,-0.09924565388945256,0.0,0.0,0.0
2006-07-19,-0.099665766391354,0.0,0.0,0.0
2006-07-20,-0.09375205448669158,0.0,0.0,0.0
2006-07-21,-0.09548327250074366,0.0,0.0,0.0
2006-07-24,-0.09975505885915786,0.0,0.0,0.0
2006-07-25,-0.09541517443305104,0.0,0.0,0.0
2006-07-26,-0.09127046833886776,0.0,0.0,0.0
2006-07-27,-0.07556678049182002,0.0,0.0,0.0
2006-07-28,-0.09806688769265884,0.0,0.0,0.0
2006-07-31,-0.10388487466146501,0.0,0.0,0.0
2006-08-01,-0.10375658528332063,0.0,0.0,0.0
2006-08-02,-0.10244535666650902,0.0,0.0,0.0
2006-08-03,-0.11137698012453959,0.0,0.0,0.0
2006-08-04,-0.11173217282139945,0.0,0.0,0.0
2006-08-07,-0.09684886173926875,0.0,0.0,0.0
2006-08-08,-0.08469255498029218,0.0,0.0,0.0
2006-08-09,-0.08943822424382095,0.0,0.0,0.0
2006-08-10,-0.09474974660919726,0.0,0.0,0.0
2006-08-11,-0.09559443424008818,0.0,0.0,0.0
2006-08-14,-0.0898574990428561,0.0,0.0,0.0
2006-08-15,-0.07915605013334683,0.0,0.0,0.0
2006-08-16,-0.08382945325093952,0.0,0.0,0.0
2006-08-17,-0.07998377703051904,0.0,0.0,0.0
2006-08-18,-0.08150891385550427,0.0,0.0,0.0
2006-08-21,-0.08556306296354389,0.0,0.0,0.0
2006-08-22,-0.07260289181178761,0.0,0.0,0.0
2006-08-23,-0.06149368664502204,0.0,0.0,0.0
2006-08-24,-0.06488344470301068,0.0,0.0,0.0
2006-08-25,-0.05075947298229578,0.0,0.0,0.0
2006-08-28,-0.04954195866098256,0.0,0.0,0.0
2006-08-29,-0.05730108745836275,0.0,0.0,0.0
2006-08-30,-0.05361690426353317,0.0,0.0,0.0
2006-08-31,-0.060739467745652545,0.0,0.0,0.0
2006-09-01,-0.05176354855185254,0.0,0.0,0.0
2006-09-05,-0.05117174954253919,0.0,0.0,0.0
2006-09-06,-0.04359903620989111,0.0,0.0,0.0
2006-09-07,-0.05122529202323912,0.0,0.0,0.0
2006-09-08,-0.045840626535068214,0.0,0.0,0.0
2006-09-11,-0.054511689957630435,0.0,0.0,0.0
2006-09-12,-0.06550484708139785,0.0,0.0,0.0
2006-09-13,-0.06899997014529106,0.0,0.0,0.0
2006-09-14,-0.0660950376509666,0.0,0.0,0.0
2006-09-15,-0.06565814726797994,0.0,0.0,0.0
2006-09-18,-0.05544109189931312,0.0,0.0,0.0
2006-09-19,-0.03987998867230138,0.0,0.0,0.0
2006-09-20,-0.03819840593783381,0.0,0.0,0.0
2006-09-21,-0.04523510274352657,0.0,0.0,0.0
2006-09-22,-0.03870360429667545,0.0,0.0,0.0
2006-09-25,-0.02706937582474687,0.0,0.0,0.0
2006-09-26,-0.02795518104833887,0.0,0.0,0.0
2006-09-27,-0.02028191724402483,0.0,0.0,0.0
2006-09-28,-0.013710181917792944,0.0,0.0,0.0
2006-09-29,-0.014565191327796777,0.0,0.0,0.0
2006-10-02,-0.017021001890816654,0.0,0.0,0.0
2006-10-03,-0.013704275232498571,0.0,-0.07455507455507454,0.0
2006-10-04,-0.023376647994002797,0.0,-0.08494468494468493,0.0
2006-10-05,-0.011823439476121739,0.0,-0.08648388648388647,0.0
2006-10-06,-0.00524517263772179,0.0,-0.07667147667147665,0.0
2006-10-09,-0.0011375081520747232,0.0,-0.0805194805194805,0.0
2006-10-10,-0.009951972044041999,0.0,-0.08379028379028378,0.0
2006-10-11,0.002817533359201222,0.0,-0.07782587782587781,0.0
2006-10-12,0.008273475829391341,0.0,-0.07166907166907166,0.0
2006-10-13,0.016018323277580595,0.0,-0.07109187109187108,0.0
2006-10-16,0.023152713356556703,0.0,-0.06820586820586819,0.0
2006-10-17,0.02671046227622061,0.0,-0.05666185666185665,0.0
2006-10-18,0.03158551796375417,0.0,-0.05377585377585377,0.0
2006-10-19,0.03154222695176611,0.0,-0.05993265993265992,0.0
2006-10-20,0.0278159758109877,0.0,-0.06166426166426166,0.0
2006-10-23,0.022152735205337195,0.0,-0.06705146705146704,0.0
2006-10-24,0.004953431988936276,0.0,-0.06820586820586819,0.0
2006-10-25,-0.0067486470957095,0.0,-0.06358826358826358,0.0
2006-10-26,-0.0006609554855875896,0.0,-0.06628186628186629,0.0
2006-10-27,0.005646908182358786,0.0,-0.07166907166907166,0.0
2006-10-30,0.008336727991122325,0.0,-0.05858585858585858,0.0
2006-10-31,-0.0005556502102581951,0.0,-0.053391053391053385,0.0
2006-11-01,0.006428249276961693,0.0,-0.05608465608465608,0.0
2006-11-02,0.00731610151729617,0.0,-0.06012506012506012,0.0
2006-11-03,-0.0081077007500465,0.0,-0.06916786916786916,0.0
2006-11-06,-0.01628012478307153,0.0,-0.0657046657046657,0.0
2006-11-07,-0.010902962703966177,0.0,-0.05204425204425204,0.0
2006-11-08,0.005947717579171713,0.0,-0.047811447811447805,0.0
2006-11-09,0.0021086666332788945,0.0,-0.04704184704184704,0.0
2006-11-10,-0.0029702700195484207,0.0,-0.03088023088023088,0.0
2006-11-13,-0.005748436752757425,0.0,-0.03088023088023088,0.0
2006-11-14,-0.008229766533893823,0.0,-0.01991341991341991,0.0
2006-11-15,-0.005089943173969334,0.0,-0.020875420875420877,0.0
2006-11-16,0.014680369795076208,0.0,-0.018759018759018756,0.0
2006-11-17,0.020217447866427728,0.0,-0.01721981721981722,0.0
2006-11-20,0.022832166786513612,0.0,-0.018374218374218373,0.0
2006-11-21,0.010400161532953601,0.0,-0.032034632034632034,0.0
2006-11-22,0.017443932976461452,0.0,-0.03415103415103415,0.0
2006-11-24,0.0027335697170163924,0.0,-0.04684944684944684,0.0
2006-11-27,-0.0034155254476573387,0.0,-0.04242424242424242,0.0
2006-11-28,0.005549129631876827,0.0,-0.03184223184223184,0.0
2006-11-29,0.011939276839540755,0.0,-0.03184223184223184,0.0
2006-11-30,0.031710678596023875,0.0,-0.02914862914862915,0.0
2006-12-01,0.03157337719493719,0.0,-0.032996632996632996,0.0
2006-12-04,0.02603872774650306,0.0,-0.03973063973063973,0.0
2006-12-05,0.008288601359051627,0.0,-0.058970658970658965,0.0
2006-12-06,0.011907452479303035,0.0,-0.06012506012506012,0.0
2006-12-07,0.015352850096651235,0.0,-0.05204425204425204,0.0
2006-12-08,0.02758519526027315,0.0,-0.040500240500240495,0.0
2006-12-11,0.0403547159109733,0.0,-0.03896103896103895,0.0
2006-12-12,0.05126411463354768,0.0,-0.022991822991822994,0.0
2006-12-13,0.04523546866300621,0.0,-0.018759018759018756,0.0
2006-12-14,0.04727000349957996,0.0,-0.019721019721019722,0.0
2006-12-15,0.044947565490408056,0.0,-0.019528619528619527,0.0
2006-12-18,0.04372569078677138,0.0,-0.015873015873015872,0.0
2006-12-19,0.03600284640448951,0.0,-0.0253006253006253,0.0
2006-12-20,0.04743318804495631,0.0,-0.010293410293410292,0.0
2006-12-21,0.035135030752464276,0.0,-0.02241462241462241,0.0
2006-12-22,0.04217379282832532,0.0,-0.027417027417027413,0.0
2006-12-26,0.041686584041050426,0.0,-0.02549302549302549,0.0
2006-12-27,0.03483712864325652,0.0,-0.02953342953342953,0.0
2006-12-28,0.04144632782134671,0.0,-0.029341029341029345,0.0
2006-12-29,0.051912435307418736,0.0,-0.027801827801827796,0.0
2007-01-03,0.05601586268347887,0.0,-0.021645021645021644,0.0
2007-01-04,0.05558246544798124,0.0,-0.028571428571428567,0.0
2007-01-05,0.07211990826381988,0.0,-0.009908609908609908,0.0
2007-01-08,0.058781781531811884,0.0,-0.021837421837421836,0.0
2007-01-09,0.05522414551731907,0.0,-0.02126022126022126,0.0
2007-01-10,0.056120765701833615,0.0,-0.0253006253006253,0.0
2007-01-11,0.06098570374228279,0.0,-0.01933621933621934,0.0
2007-01-12,0.053101222690083244,0.0,-0.020683020683020678,0.0
2007-01-16,0.04882580813036206,0.0,-0.03607503607503607,0.0
2007-01-17,0.037487396122811475,0.0,-0.042616642616642615,0.0
2007-01-18,0.04577680831117804,0.0,-0.040885040885040885,0.0
