Label,FinalEquity,TotalReturn,CAGR,AnnVol,Sharpe,Sortino,MaxDD,Calmar,CVaR_5,AvgExposure,TimeInMkt,TurnoverAnn,Days
MAHORAGA_1.0,3893701.957252,37.93702,0.19989,0.230555,0.904123,1.52222,-0.357078,0.559792,-0.033758,0.540477,0.640995,11.843628,5064
QQQ,1639582.047612,15.39582,0.149341,0.219352,0.744467,1.188815,-0.53503,0.279126,-0.03291,1.0,1.0,0.0,5064
EQW_Tech,12987634.187439,128.876342,0.274018,0.259513,1.063543,1.733052,-0.527585,0.519382,-0.03825,0.999803,0.999803,0.024882,5064
MOM_12_1_TopK,32104549.401959,320.045494,0.332706,0.333665,1.028071,1.737948,-0.510966,0.651132,-0.047295,0.99921,0.99921,4.951422,5064
